wl,n,k,theta
1.5e-07,0.095390828,1.283666394,nan
1.55e-07,0.095510386,1.337393822,nan
1.6e-07,0.09903925,1.402928641,nan
1.65e-07,0.098692838,1.46616516,nan
1.7000000000000001e-07,0.100850207,1.532569987,nan
1.75e-07,0.1069563,1.596539899,nan
1.8e-07,0.099715746,1.657661977,nan
1.85e-07,0.108316112,1.734368006,nan
1.8999999999999998e-07,0.106567769,1.79116071,nan
1.9499999999999999e-07,0.111513266,1.853411775,nan
2e-07,0.110803374,1.908606137,nan
2.0499999999999997e-07,0.111587326,1.969936987,nan
2.0999999999999997e-07,0.11365555,2.028057589,nan
2.1499999999999998e-07,0.115928445,2.091850713,nan
2.1999999999999998e-07,0.116173424,2.151998203,-83.71410321282391
2.25e-07,0.119771906,2.213039835,-79.2661431601003
2.3e-07,0.124315543,2.274896559,-76.3506314598842
2.3499999999999997e-07,0.129276519,2.336773934,-74.10185802451907
2.4e-07,0.133002743,2.395514502,-72.30399466118119
2.45e-07,0.139688588,2.457358928,-70.7107769389398
2.5e-07,0.141162655,2.515219055,-69.36433159058136
2.55e-07,0.148765766,2.573777623,-68.15295560139639
2.6e-07,0.150722638,2.633214255,-67.04174966856927
2.65e-07,0.161465056,2.693431077,-66.02305980782953
2.7e-07,0.164610587,2.750035753,-65.10972967709968
2.75e-07,0.172365826,2.81099804,-64.2285695990695
2.8e-07,0.178635303,2.868973784,-63.425829703083366
2.8499999999999997e-07,0.18587018,2.923276881,-62.69330746957309
2.9e-07,0.188953314,2.98248275,-61.969881329558824
2.95e-07,0.197315218,3.042340102,-61.2831403415581
3e-07,0.204991638,3.100858199,-60.63660536109063
3.05e-07,0.210097266,3.157347124,-60.027528724314124
3.1e-07,0.218816718,3.214790935,-59.44082493374577
3.15e-07,0.224454799,3.267473023,-58.894225306190876
3.2e-07,0.237666454,3.323775766,-58.35563270968911
3.25e-07,0.24464928,3.37932734,-57.836628936774844
3.3e-07,0.251892832,3.436779015,-57.32878619624461
3.35e-07,0.259391824,3.493749292,-56.83855715544931
3.4000000000000003e-07,0.267481852,3.550147397,-56.36466508051762
3.45e-07,0.275201252,3.607178361,-55.90248643953358
3.5e-07,0.28349792,3.663518946,-55.45457607288948
3.55e-07,0.291774119,3.719829584,-55.01815797430699
3.6e-07,0.300125667,3.776251503,-54.59213834464024
3.65e-07,0.308578012,3.831608068,-54.17813849659322
3.7e-07,0.317597538,3.889198914,-53.76910921975296
3.75e-07,0.32692637,3.945995546,-53.37040617263021
3.7999999999999996e-07,0.335956002,4.002607455,-52.98013553833517
3.8499999999999997e-07,0.345714203,4.058265431,-52.599098768715706
3.8999999999999997e-07,0.354901676,4.114238107,-52.22453631475513
3.95e-07,0.364968364,4.169676475,-51.85750959025885
4e-07,0.375150842,4.226433266,-51.49492455093021
4.05e-07,0.385211589,4.281283449,-51.14082071080102
4.0999999999999994e-07,0.396086448,4.336805792,-50.791467258417036
4.1499999999999994e-07,0.40706511,4.391435073,-50.44844355052285
4.1999999999999995e-07,0.417647849,4.447407079,-50.108786231812545
4.2499999999999995e-07,0.429543735,4.503499508,-49.773940743349364
4.2999999999999996e-07,0.440996226,4.559109307,-49.44411933397321
4.3499999999999996e-07,0.452837879,4.613682059,-49.11966481695824
4.3999999999999997e-07,0.464232752,4.669101846,-48.79840369921192
4.45e-07,0.477070026,4.724044433,-48.48161813163606
4.5e-07,0.489220122,4.778319404,-48.169047626339946
4.55e-07,0.501228231,4.832828338,-47.85977082361894
4.6e-07,0.514817248,4.887948117,-47.55351098003963
4.65e-07,0.528042125,4.943260916,-47.25033732372365
4.6999999999999995e-07,0.53987657,4.997345967,-46.95109630059517
4.7499999999999995e-07,0.554932886,5.051331558,-46.655129735813
4.8e-07,0.568005038,5.105940631,-46.361415146804994
4.85e-07,0.582771419,5.159226931,-46.07144794401328
4.9e-07,0.596705366,5.212874187,-45.78377997263742
4.95e-07,0.610784373,5.265933683,-45.49899343436693
5e-07,0.625686295,5.320477736,-45.215792533832605
5.049999999999999e-07,0.640306464,5.374848125,-44.93504712535815
5.1e-07,0.655709839,5.428163169,-44.65721849250949
5.149999999999999e-07,0.672565753,5.481545831,-44.38161803316908
5.2e-07,0.688336416,5.535955836,-44.10752215905067
5.25e-07,0.704045108,5.58799423,-43.836661576045046
5.3e-07,0.720793584,5.641767754,-43.56696145775586
5.35e-07,0.737603948,5.693773756,-43.30000147852557
5.4e-07,0.75446839,5.746496546,-43.034531766490105
5.45e-07,0.772330366,5.799008035,-42.77098697499284
5.5e-07,0.789405353,5.851936501,-42.50893808273605
5.55e-07,0.808351698,5.905288517,-42.24850030779411
5.6e-07,0.829205097,5.958236408,-41.989966339658075
5.649999999999999e-07,0.848630853,6.009090973,-41.733739704850414
5.699999999999999e-07,0.867376853,6.060226283,-41.47886450417736
5.749999999999999e-07,0.887661988,6.112687118,-41.22505012232814
5.8e-07,0.908569739,6.165184423,-40.97270312693266
5.849999999999999e-07,0.928308533,6.215605902,-40.72241772315951
5.9e-07,0.948955518,6.267417058,-40.47305115775362
5.949999999999999e-07,0.9714896,6.317103137,-40.22579586521792
6e-07,0.992465612,6.368986418,-39.97902518988086
6.049999999999999e-07,1.016073317,6.417351867,-39.734729931794725
6.1e-07,1.038145667,6.46681888,-39.491205676135216
6.149999999999999e-07,1.062059906,6.517052343,-39.24871242333635
6.2e-07,1.088160063,6.566589093,-39.00767172733023
6.249999999999999e-07,1.112663572,6.61475776,-38.76805007477326
6.3e-07,1.136328574,6.66312559,-38.529406671088154
6.35e-07,1.165731637,6.710806975,-38.29226179425621
6.4e-07,1.190265203,6.759417967,-38.05566940287959
6.45e-07,1.218505245,6.807110623,-37.820488576077274
6.5e-07,1.246364405,6.852329839,-37.58688108306141
6.55e-07,1.275302761,6.898361917,-37.354054567002684
6.6e-07,1.304382818,6.942363757,-37.12263810322418
6.65e-07,1.333854457,6.987643931,-36.8918227763528
6.7e-07,1.365410391,7.031951759,-36.662200169120005
6.75e-07,1.395892303,7.071104251,-36.43454045208794
6.800000000000001e-07,1.426024482,7.116287362,-36.206326792006244
6.85e-07,1.457391234,7.157652493,-35.979823226995435
6.9e-07,1.493230683,7.197481356,-35.754627201902075
6.949999999999999e-07,1.5274935,7.23603734,-35.53038650615059
7e-07,1.559751729,7.27391404,-35.306933800309324
7.049999999999999e-07,1.596346402,7.311383032,-35.08447623441985
7.1e-07,1.631621525,7.34575992,-34.863286354764654
7.149999999999999e-07,1.669698976,7.380372258,-34.64285233071684
7.2e-07,1.706780893,7.414249862,-34.42318581133753
7.249999999999999e-07,1.745260386,7.446739811,-34.20450481315364
7.3e-07,1.786398844,7.475374294,-33.987320882933375
7.35e-07,1.827772224,7.502849546,-33.770982547434954
7.4e-07,1.872189153,7.528352557,-33.55575978211324
7.45e-07,1.916802427,7.55216072,-33.34145387067294
7.5e-07,1.958355454,7.571403838,-33.12842809519835
7.55e-07,2.005349601,7.585211073,-32.91723484226334
7.599999999999999e-07,2.054224115,7.599462923,-32.70660568254928
7.65e-07,2.09984451,7.605086914,-32.497962693259694
