# wl, theta
 300.00000, -60.63661
 300.90090, -60.52686
 301.80180, -60.41712
 302.70270, -60.30737
 303.60360, -60.19763
 304.50450, -60.08789
 305.40541, -59.97996
 306.30631, -59.87425
 307.20721, -59.76853
 308.10811, -59.66282
 309.00901, -59.55711
 309.90991, -59.45140
 310.81081, -59.35219
 311.71171, -59.25370
 312.61261, -59.15521
 313.51351, -59.05673
 314.41441, -58.95824
 315.31532, -58.86026
 316.21622, -58.76322
 317.11712, -58.66617
 318.01802, -58.56913
 318.91892, -58.47209
 319.81982, -58.37504
 320.72072, -58.28082
 321.62162, -58.18731
 322.52252, -58.09379
 323.42342, -58.00028
 324.32432, -57.90676
 325.22523, -57.81375
 326.12613, -57.72225
 327.02703, -57.63075
 327.92793, -57.53924
 328.82883, -57.44774
 329.72973, -57.35624
 330.63063, -57.26696
 331.53153, -57.17863
 332.43243, -57.09030
 333.33333, -57.00197
 334.23423, -56.91364
 335.13514, -56.82575
 336.03604, -56.74036
 336.93694, -56.65498
 337.83784, -56.56959
 338.73874, -56.48421
 339.63964, -56.39882
 340.54054, -56.31470
 341.44144, -56.23142
 342.34234, -56.14815
 343.24324, -56.06487
 344.14414, -55.98160
 345.04505, -55.89845
 345.94595, -55.81775
 346.84685, -55.73704
 347.74775, -55.65634
 348.64865, -55.57563
 349.54955, -55.49493
 350.45045, -55.41526
 351.35135, -55.33663
 352.25225, -55.25799
 353.15315, -55.17936
 354.05405, -55.10072
 354.95495, -55.02209
 355.85586, -54.94524
 356.75676, -54.86848
 357.65766, -54.79172
 358.55856, -54.71495
 359.45946, -54.63819
 360.36036, -54.56230
 361.26126, -54.48771
 362.16216, -54.41311
 363.06306, -54.33852
 363.96396, -54.26392
 364.86486, -54.18933
 365.76577, -54.11549
 366.66667, -54.04180
 367.56757, -53.96810
 368.46847, -53.89440
 369.36937, -53.82070
 370.27027, -53.74756
 371.17117, -53.67572
 372.07207, -53.60388
 372.97297, -53.53204
 373.87387, -53.46020
 374.77477, -53.38837
 375.67568, -53.31767
 376.57658, -53.24735
 377.47748, -53.17703
 378.37838, -53.10671
 379.27928, -53.03639
 380.18018, -52.96640
 381.08108, -52.89775
 381.98198, -52.82909
 382.88288, -52.76044
 383.78378, -52.69178
 384.68468, -52.62313
 385.58559, -52.55523
 386.48649, -52.48774
 387.38739, -52.42025
 388.28829, -52.35276
 389.18919, -52.28528
 390.09009, -52.21792
 390.99099, -52.15179
 391.89189, -52.08566
 392.79279, -52.01953
 393.69369, -51.95340
 394.59459, -51.88727
 395.49550, -51.82158
 396.39640, -51.75625
 397.29730, -51.69092
 398.19820, -51.62559
 399.09910, -51.56026
 400.00000, -51.49492
 400.90090, -51.43112
 401.80180, -51.36732
 402.70270, -51.30352
 403.60360, -51.23971
 404.50450, -51.17591
 405.40541, -51.11249
 406.30631, -51.04955
 407.20721, -50.98660
 408.10811, -50.92366
 409.00901, -50.86071
 409.90991, -50.79776
 410.81081, -50.73584
 411.71171, -50.67404
 412.61261, -50.61223
 413.51351, -50.55042
 414.41441, -50.48862
 415.31532, -50.42702
 416.21622, -50.36582
 417.11712, -50.30462
 418.01802, -50.24343
 418.91892, -50.18223
 419.81982, -50.12103
 420.72072, -50.06052
 421.62162, -50.00019
 422.52252, -49.93986
 423.42342, -49.87952
 424.32432, -49.81919
 425.22523, -49.75908
 426.12613, -49.69966
 427.02703, -49.64023
 427.92793, -49.58080
 428.82883, -49.52137
 429.72973, -49.46195
 430.63063, -49.40320
 431.53153, -49.34474
 432.43243, -49.28628
 433.33333, -49.22782
 434.23423, -49.16936
 435.13514, -49.11098
 436.03604, -49.05310
 436.93694, -48.99521
 437.83784, -48.93733
 438.73874, -48.87944
 439.63964, -48.82156
 440.54054, -48.76416
 441.44144, -48.70708
 442.34234, -48.65000
 443.24324, -48.59292
 444.14414, -48.53584
 445.04505, -48.47880
 445.94595, -48.42248
 446.84685, -48.36616
 447.74775, -48.30985
 448.64865, -48.25353
 449.54955, -48.19721
 450.45045, -48.14118
 451.35135, -48.08546
 452.25225, -48.02973
 453.15315, -47.97401
 454.05405, -47.91828
 454.95495, -47.86256
 455.85586, -47.80735
 456.75676, -47.75217
 457.65766, -47.69698
 458.55856, -47.64180
 459.45946, -47.58662
 460.36036, -47.53166
 461.26126, -47.47703
 462.16216, -47.42241
 463.06306, -47.36778
 463.96396, -47.31316
 464.86486, -47.25853
 465.76577, -47.20451
 466.66667, -47.15059
 467.56757, -47.09667
 468.46847, -47.04276
 469.36937, -46.98884
 470.27027, -46.93510
 471.17117, -46.88177
 472.07207, -46.82844
 472.97297, -46.77512
 473.87387, -46.72179
 474.77477, -46.66846
 475.67568, -46.61544
 476.57658, -46.56252
 477.47748, -46.50960
 478.37838, -46.45667
 479.27928, -46.40375
 480.18018, -46.35097
 481.08108, -46.29872
 481.98198, -46.24647
 482.88288, -46.19423
 483.78378, -46.14198
 484.68468, -46.08973
 485.58559, -46.03776
 486.48649, -45.98593
 487.38739, -45.93409
 488.28829, -45.88226
 489.18919, -45.83043
 490.09009, -45.77865
 490.99099, -45.72734
 491.89189, -45.67602
 492.79279, -45.62471
 493.69369, -45.57340
 494.59459, -45.52208
 495.49550, -45.47093
 496.39640, -45.41990
 497.29730, -45.36887
 498.19820, -45.31785
 499.09910, -45.26682
 500.00000, -45.21579
 500.90090, -45.16521
 501.80180, -45.11462
 502.70270, -45.06404
 503.60360, -45.01345
 504.50450, -44.96287
 505.40541, -44.91252
 506.30631, -44.86246
 507.20721, -44.81240
 508.10811, -44.76234
 509.00901, -44.71228
 509.90991, -44.66222
 510.81081, -44.61253
 511.71171, -44.56287
 512.61261, -44.51321
 513.51351, -44.46355
 514.41441, -44.41390
 515.31532, -44.36433
 516.21622, -44.31495
 517.11712, -44.26556
 518.01802, -44.21617
 518.91892, -44.16679
 519.81982, -44.11740
 520.72072, -44.06848
 521.62162, -44.01968
 522.52252, -43.97087
 523.42342, -43.92207
 524.32432, -43.87326
 525.22523, -43.82451
 526.12613, -43.77592
 527.02703, -43.72732
 527.92793, -43.67873
 528.82883, -43.63013
 529.72973, -43.58154
 530.63063, -43.53329
 531.53153, -43.48519
 532.43243, -43.43709
 533.33333, -43.38899
 534.23423, -43.34089
 535.13514, -43.29283
 536.03604, -43.24499
 536.93694, -43.19716
 537.83784, -43.14933
 538.73874, -43.10150
 539.63964, -43.05366
 540.54054, -43.00604
 541.44144, -42.95855
 542.34234, -42.91107
 543.24324, -42.86358
 544.14414, -42.81610
 545.04505, -42.76863
 545.94595, -42.72141
 546.84685, -42.67419
 547.74775, -42.62698
 548.64865, -42.57976
 549.54955, -42.53255
 550.45045, -42.48548
 551.35135, -42.43855
 552.25225, -42.39162
 553.15315, -42.34470
 554.05405, -42.29777
 554.95495, -42.25085
 555.85586, -42.20425
 556.75676, -42.15766
 557.65766, -42.11108
 558.55856, -42.06450
 559.45946, -42.01792
 560.36036, -41.97150
 561.26126, -41.92533
 562.16216, -41.87917
 563.06306, -41.83300
 563.96396, -41.78683
 564.86486, -41.74066
 565.76577, -41.69470
 566.66667, -41.64878
 567.56757, -41.60286
 568.46847, -41.55693
