# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
-2.000000000000000000e+01 5.066959385337220567e+00 5.063714797094731601e+00 6.244568975141191025e+00 6.241207060318681776e+00
-1.800000000000000000e+01 5.080178131213617831e+00 5.079550400935937127e+00 6.260671700156190234e+00 6.260219257267647386e+00
-1.600000000000000000e+01 5.094314886825485722e+00 5.091395415304280192e+00 6.277230307275156740e+00 6.274097257520860005e+00
-1.400000000000000000e+01 5.065128728908744549e+00 5.063308963080815239e+00 6.242515134355761219e+00 6.240843185546061989e+00
-1.200000000000000000e+01 5.078763557788749772e+00 5.078113167409022743e+00 6.262251957558190085e+00 6.261802961544563395e+00
-1.000000000000000000e+01 5.093398557954985861e+00 5.098168385537505287e+00 6.273344843121491543e+00 6.279257241184167171e+00
-8.000000000000000000e+00 5.073431984917024629e+00 5.064782874397357304e+00 6.250057760625683301e+00 6.239803134928606276e+00
-6.000000000000000000e+00 5.065427099048705806e+00 5.065000604814258622e+00 6.240295053187864482e+00 6.240228027219453466e+00
-4.000000000000000000e+00 5.067363058183411262e+00 5.069128930755059770e+00 6.241109287790508553e+00 6.243467743635755518e+00
-2.000000000000000000e+00 5.072013408230340303e+00 5.069654720820659932e+00 6.246747015622965193e+00 6.244224800802880004e+00
-1.899999999999999911e+00 5.066885553534273612e+00 5.071291668059688895e+00 6.240312189117759978e+00 6.245898509271402332e+00
-1.800000000000000044e+00 5.066226193438704506e+00 5.066379542730000018e+00 6.240216415232998415e+00 6.240568519026293615e+00
-1.699999999999999956e+00 5.077903283396626222e+00 5.077570159712665898e+00 6.253961803776732609e+00 6.254191306266138284e+00
-1.600000000000000089e+00 5.076520101325497691e+00 5.078298227673409215e+00 6.254405195298941678e+00 6.256512209805021207e+00
-1.500000000000000000e+00 5.074724919297445069e+00 5.073958895583741580e+00 6.251440066980768151e+00 6.250726010524845222e+00
-1.399999999999999911e+00 5.076604503176335825e+00 5.080101335554607189e+00 6.253717965930493783e+00 6.257947925227358432e+00
-1.300000000000000044e+00 5.077198599208434082e+00 5.075935295943059700e+00 6.254434102764258263e+00 6.253209073865322765e+00
-1.199999999999999956e+00 5.085924745626368981e+00 5.084737353787216030e+00 6.263573644472864466e+00 6.262585802729859985e+00
