Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Al_grating_measurement00003
DateTime:      Tuesday, 13 February 2024, 16:34:08
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_measurement00003\Run00005\result.txt
Dimensions:    2
TotalSteps:    636
Created:       02/09/2024 14:26
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating 34 deg
Probe 750 nm 7 uW

Pump 400 nm 3.9 mW


Constants:
>	DelayLine [ps]	49.999559

Loops:
>	Repeat: 2 times
>	DelayLine: from -20 to 500 [ps] in 318 steps ZigZag

Operations:
>	Digitizer

Parameters:
> Repeat,x,0,2,R,0,1
> DelayLine,ps,3,318,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 4 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      50 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      166.831 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	Repeat [x]	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	0	-20.000	-0.010479	0.009560	0.000051
1	0	-18.000	-0.007972	0.013988	0.000007
2	0	-16.000	-0.011172	0.010170	0.000121
3	0	-14.000	-0.009553	0.010562	0.000103
4	0	-12.000	-0.010522	0.010926	0.000066
5	0	-10.000	-0.008067	0.010498	0.000120
6	0	-8.000	-0.007881	0.010634	0.000218
7	0	-6.000	-0.011112	0.015085	0.000212
8	0	-4.000	-0.008984	0.008575	0.000160
9	0	-2.000	-0.007599	0.010122	0.000153
10	0	-1.900	-0.009969	0.011465	0.000211
11	0	-1.800	-0.014243	0.012712	-0.000036
12	0	-1.700	-0.011359	0.013121	0.000226
13	0	-1.600	-0.010929	0.012053	0.000171
14	0	-1.500	-0.009356	0.013459	0.000241
15	0	-1.400	-0.009279	0.011567	0.000227
16	0	-1.300	-0.010129	0.008143	0.000135
17	0	-1.200	-0.009232	0.010520	0.000140
18	0	-1.100	-0.008796	0.008586	0.000183
19	0	-1.000	-0.007497	0.012172	0.000182
20	0	-0.900	-0.007538	0.009820	0.000078
21	0	-0.800	-0.009614	0.008756	0.000081
22	0	-0.700	-0.008002	0.008588	0.000166
23	0	-0.600	-0.009285	0.010296	0.000190
24	0	-0.500	-0.009178	0.009031	0.000116
25	0	-0.400	-0.008748	0.009031	0.000326
26	0	-0.300	-0.007868	0.010699	0.001156
27	0	-0.200	-0.009992	0.010595	0.002050
28	0	-0.100	-0.008968	0.013785	0.002605
29	0	-0.000	-0.007525	0.013638	0.002969
30	0	0.100	-0.007074	0.015148	0.002998
31	0	0.200	-0.006834	0.012976	0.002929
32	0	0.300	-0.006173	0.012768	0.002997
33	0	0.400	-0.007313	0.009974	0.002860
34	0	0.500	-0.004605	0.013917	0.002946
35	0	0.600	-0.006746	0.013494	0.003017
36	0	0.700	-0.005956	0.013239	0.002962
37	0	0.800	-0.006957	0.015132	0.002825
38	0	0.900	-0.009206	0.011856	0.002875
39	0	1.000	-0.005040	0.011564	0.002818
40	0	1.100	-0.005957	0.013006	0.002856
41	0	1.200	-0.007642	0.011468	0.002899
42	0	1.300	-0.006457	0.013354	0.002861
43	0	1.400	-0.004737	0.011746	0.002870
44	0	1.500	-0.011207	0.011910	0.002904
45	0	1.600	-0.007123	0.011257	0.002941
46	0	1.700	-0.013130	0.011656	0.002996
47	0	1.800	-0.007204	0.011981	0.002898
48	0	1.900	-0.011225	0.015358	0.002954
49	0	2.000	-0.006485	0.011690	0.002970
50	0	2.100	-0.011320	0.010962	0.003010
51	0	2.200	-0.011501	0.012244	0.003103
52	0	2.300	-0.007540	0.013833	0.003105
53	0	2.400	-0.011278	0.011281	0.003099
54	0	2.500	-0.009171	0.011425	0.003162
55	0	2.600	-0.007114	0.010815	0.003106
56	0	2.700	-0.006624	0.011805	0.003080
57	0	2.800	-0.008038	0.013665	0.003316
58	0	2.900	-0.006466	0.012199	0.003227
59	0	3.000	-0.007172	0.013511	0.003193
60	0	3.100	-0.005563	0.012875	0.003023
61	0	3.200	-0.007133	0.012308	0.003305
62	0	3.300	-0.007464	0.014341	0.003214
63	0	3.400	-0.007064	0.012259	0.003309
64	0	3.500	-0.006205	0.011782	0.003260
65	0	3.600	-0.004946	0.016231	0.003264
66	0	3.700	-0.005701	0.017428	0.003401
67	0	3.800	-0.006993	0.011839	0.003315
68	0	3.900	-0.006744	0.013607	0.003266
69	0	4.000	-0.006147	0.011423	0.003254
70	0	6.000	-0.005210	0.013816	0.003479
71	0	8.000	-0.006800	0.012668	0.003574
72	0	10.000	-0.006175	0.013503	0.003655
73	0	12.000	-0.004732	0.013065	0.003928
74	0	14.000	-0.003162	0.013627	0.004098
75	0	16.000	-0.004915	0.012391	0.004180
76	0	18.000	-0.003308	0.013573	0.004381
77	0	20.000	-0.005934	0.015760	0.004188
78	0	22.000	-0.006438	0.013175	0.004189
79	0	24.000	-0.007173	0.014837	0.004060
80	0	26.000	-0.005262	0.012772	0.003751
81	0	28.000	-0.006257	0.012835	0.003817
82	0	30.000	-0.005463	0.012681	0.003800
83	0	32.000	-0.004470	0.013355	0.003700
84	0	34.000	-0.006220	0.010982	0.003458
85	0	36.000	-0.006595	0.015747	0.003339
86	0	38.000	-0.005456	0.014338	0.003175
87	0	40.000	-0.007829	0.013756	0.002983
88	0	42.000	-0.009879	0.012432	0.003055
89	0	44.000	-0.007021	0.011922	0.002895
90	0	46.000	-0.006473	0.011377	0.002852
91	0	48.000	-0.006066	0.013496	0.003016
92	0	50.000	-0.009081	0.012577	0.003045
93	0	52.000	-0.007255	0.011394	0.002778
94	0	54.000	-0.007920	0.011781	0.002803
95	0	56.000	-0.006984	0.011272	0.002807
96	0	58.000	-0.009063	0.012759	0.002880
97	0	60.000	-0.007675	0.011721	0.002814
98	0	62.000	-0.007371	0.011765	0.002892
99	0	64.000	-0.006977	0.012482	0.002620
100	0	66.000	-0.006193	0.013094	0.002785
101	0	68.000	-0.005366	0.012651	0.002681
102	0	70.000	-0.008245	0.011804	0.002759
103	0	72.000	-0.008413	0.014165	0.002649
104	0	74.000	-0.010478	0.012045	0.002630
105	0	76.000	-0.006694	0.011681	0.002527
106	0	78.000	-0.006676	0.015170	0.002620
107	0	80.000	-0.006052	0.011215	0.002508
108	0	82.000	-0.006005	0.011847	0.002582
109	0	84.000	-0.005290	0.009970	0.002498
110	0	86.000	-0.009916	0.011424	0.002451
111	0	88.000	-0.006600	0.010967	0.002614
112	0	90.000	-0.007328	0.012637	0.002610
113	0	92.000	-0.006663	0.012260	0.002616
114	0	94.000	-0.007222	0.014834	0.002601
115	0	96.000	-0.006217	0.011453	0.002456
116	0	98.000	-0.006532	0.011299	0.002529
117	0	100.000	-0.008304	0.011211	0.002406
118	0	102.000	-0.009895	0.010871	0.002370
119	0	104.000	-0.005345	0.011058	0.002326
120	0	106.000	-0.008975	0.011297	0.002395
121	0	108.000	-0.011008	0.013961	0.002366
122	0	110.000	-0.010022	0.013139	0.002303
123	0	112.000	-0.005113	0.011094	0.002256
124	0	114.000	-0.008048	0.012745	0.002227
125	0	116.000	-0.006912	0.012908	0.002301
126	0	118.000	-0.008172	0.012215	0.002164
127	0	120.000	-0.006676	0.012066	0.002131
128	0	122.000	-0.007325	0.011707	0.001992
129	0	124.000	-0.008067	0.010658	0.001983
130	0	126.000	-0.006832	0.012007	0.002000
131	0	128.000	-0.007293	0.011884	0.001979
132	0	130.000	-0.007103	0.012379	0.001996
133	0	132.000	-0.006235	0.014569	0.002130
134	0	134.000	-0.006885	0.012160	0.002275
135	0	136.000	-0.008716	0.011350	0.002225
136	0	138.000	-0.007418	0.012110	0.002145
137	0	140.000	-0.009406	0.010209	0.002078
138	0	142.000	-0.011492	0.010353	0.002081
139	0	144.000	-0.005298	0.009158	0.002004
140	0	146.000	-0.007694	0.013307	0.002126
141	0	148.000	-0.008492	0.012412	0.002022
142	0	150.000	-0.010319	0.012499	0.002032
143	0	152.000	-0.008888	0.013051	0.002037
144	0	154.000	-0.007930	0.009643	0.001901
145	0	156.000	-0.007200	0.010650	0.001926
146	0	158.000	-0.006033	0.016612	0.002042
147	0	160.000	-0.007737	0.012736	0.001952
148	0	162.000	-0.008021	0.010905	0.001966
149	0	164.000	-0.006963	0.011216	0.001856
150	0	166.000	-0.009173	0.009695	0.001880
151	0	168.000	-0.006857	0.012505	0.001987
152	0	170.000	-0.008739	0.011667	0.001899
