Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Al_grating_measurement00003
DateTime:      Wednesday, 14 February 2024, 14:29:42
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_measurement00003\Run00006\result.txt
Dimensions:    1
TotalSteps:    566
Created:       02/09/2024 14:26
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating res-0.5 deg
Probe 750 nm 7 uW

Pump 400 nm 3.9 mW


Constants:
>	DelayLine [ps]	10.000179

Loops:
>	Repeat: 1 times
>	DelayLine: from -20 to 500 [ps] in 566 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,566,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 4 ps step=0.1 ps , to >> step=1 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      10 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      166.831 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	-20.000	-0.007502	0.010327	0.000217
1	-18.000	-0.007909	0.008449	0.000015
2	-16.000	-0.009780	0.009431	0.000141
3	-14.000	-0.008677	0.008803	-0.000001
4	-12.000	-0.008665	0.013064	0.000180
5	-10.000	-0.007986	0.012690	0.000056
6	-8.000	-0.008237	0.010089	0.000067
7	-6.000	-0.008654	0.008704	0.000179
8	-4.000	-0.009379	0.013325	0.000096
9	-2.000	-0.008408	0.012354	0.000181
10	-1.900	-0.007718	0.009753	0.000111
11	-1.800	-0.011300	0.010396	0.000017
12	-1.700	-0.008226	0.010117	0.000063
13	-1.600	-0.007371	0.010124	0.000257
14	-1.500	-0.007311	0.009433	0.000143
15	-1.400	-0.009818	0.010148	0.000196
16	-1.300	-0.008873	0.010400	0.000118
17	-1.200	-0.009528	0.009357	0.000186
18	-1.100	-0.008538	0.010293	0.000197
19	-1.000	-0.010831	0.009694	0.000207
