# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
-2.000000000000000000e+01 4.648217860137080493e+00 4.652786208208007146e+00 6.561039261366627073e+00 6.567384250722274608e+00
-1.800000000000000000e+01 4.652783323413526517e+00 4.650230771192380708e+00 6.567062331337937486e+00 6.564013922903973786e+00
-1.600000000000000000e+01 4.648097821954159770e+00 4.645071371474228883e+00 6.560869170107496373e+00 6.556996360415933367e+00
-1.400000000000000000e+01 4.646723693998688454e+00 4.647209283024397841e+00 6.558663829780396526e+00 6.560110996890141877e+00
-1.200000000000000000e+01 4.648789533991751100e+00 4.649572692553773479e+00 6.562459766180907650e+00 6.564048033581326713e+00
-1.000000000000000000e+01 4.642288034110033657e+00 4.635408968447244149e+00 6.553177356166481005e+00 6.544043171680541171e+00
-8.000000000000000000e+00 4.640525846311104097e+00 4.635702373171403323e+00 6.550921956729209406e+00 6.544439238705733963e+00
-6.000000000000000000e+00 4.650037863941955507e+00 4.653903049881069620e+00 6.563984373316023913e+00 6.569518169957690112e+00
-4.000000000000000000e+00 4.646934216642482518e+00 4.649107603316854131e+00 6.560396956091254950e+00 6.563539621846108396e+00
-2.000000000000000000e+00 4.653744176389027487e+00 4.654900977440880716e+00 6.570034434496344389e+00 6.572036466639812780e+00
-1.000000000000000000e+00 4.639013182067771801e+00 4.640635311527634421e+00 6.548991438775590979e+00 6.552150272307838641e+00
-9.000000000000000222e-01 4.642886132568508017e+00 4.643557504430229521e+00 6.554963975273671473e+00 6.555802236367720859e+00
-8.000000000000000444e-01 4.642635570359098018e+00 4.644051904285620758e+00 6.554622924328648459e+00 6.556661956376336420e+00
-6.999999999999999556e-01 4.646392329963862089e+00 4.648831177007367366e+00 6.559178723885299434e+00 6.562546577724203800e+00
-5.999999999999999778e-01 4.651768262941925691e+00 4.652605473917961199e+00 6.565967832845243102e+00 6.567824122173549384e+00
-5.000000000000000000e-01 4.644870535823505620e+00 4.649507993593528177e+00 6.556531344325861710e+00 6.562844710550825411e+00
-4.000000000000000222e-01 4.647763099039456947e+00 4.655122630653708349e+00 6.560979041356855390e+00 6.571155283147589010e+00
-2.999999999999999889e-01 4.643957491181655683e+00 4.645799435523242593e+00 6.555984731730857717e+00 6.558921273379448635e+00
-2.000000000000000111e-01 4.651286111622566999e+00 4.649463467303122322e+00 6.565928423675837955e+00 6.563642599986130755e+00
-1.000000000000000056e-01 4.650291708607406704e+00 4.654396729435320346e+00 6.564876679647936086e+00 6.569645977386070257e+00
0.000000000000000000e+00 4.638495719405837825e+00 4.636621341733646595e+00 6.551180770238544504e+00 6.545021080735571317e+00
1.000000000000000056e-01 4.642393257395622364e+00 4.652618364814368412e+00 6.559442829084777493e+00 6.567149859986570526e+00
2.000000000000000111e-01 4.638112707868821794e+00 4.645390639959789070e+00 6.556980664597094943e+00 6.557496685855274343e+00
2.999999999999999889e-01 4.646620153227720706e+00 4.651267455489739078e+00 6.571219031358232598e+00 6.566172106422765609e+00
4.000000000000000222e-01 4.644050462318948469e+00 4.656618883021208966e+00 6.568401481960492561e+00 6.572500681473252726e+00
