# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
-2.000000000000000000e+01 4.750894085175861647e+00 4.754571329048824069e+00 6.039233082624067883e+00 6.044062021140653052e+00
-1.800000000000000000e+01 4.746192888548642408e+00 4.750874626954328050e+00 6.031615189616893247e+00 6.037269332648289577e+00
-1.600000000000000000e+01 4.746396365419213836e+00 4.748035153999497382e+00 6.032125605732333362e+00 6.034791720377703506e+00
-1.400000000000000000e+01 4.757066953179880819e+00 4.759336829099204635e+00 6.046251281756926055e+00 6.049340439248850565e+00
-1.200000000000000000e+01 4.755337752812692109e+00 4.757273230136400244e+00 6.044310184124431551e+00 6.046781631747223607e+00
-1.000000000000000000e+01 4.755842404566235970e+00 4.753760945055048204e+00 6.043460402284162925e+00 6.041311507001217329e+00
-8.000000000000000000e+00 4.748849066958675813e+00 4.747012803710052964e+00 6.035501058893125048e+00 6.033522166229369432e+00
-6.000000000000000000e+00 4.754471233645618078e+00 4.755898697928030217e+00 6.044293849887901082e+00 6.046449228615536242e+00
-4.000000000000000000e+00 4.758938444045923255e+00 4.759137916511105182e+00 6.049196861936469993e+00 6.050002043943639052e+00
-2.000000000000000000e+00 4.754648124510294949e+00 4.756401505867103197e+00 6.040946270610935365e+00 6.043657792958414099e+00
-1.000000000000000000e+00 4.760924208384571088e+00 4.756302529339834884e+00 6.049480336535508762e+00 6.043887695693785922e+00
-9.000000000000000222e-01 4.743367431393355815e+00 4.747036666943264649e+00 6.028086238680960385e+00 6.033508393109968004e+00
-8.000000000000000444e-01 4.755364498555418429e+00 4.754442645429890035e+00 6.042766281151297214e+00 6.041912811534682959e+00
-6.999999999999999556e-01 4.752471377374862804e+00 4.757123804894614061e+00 6.037622561792097997e+00 6.043849577387225835e+00
-5.999999999999999778e-01 4.749879664688500647e+00 4.750925478146393210e+00 6.035203406516630231e+00 6.036846124623030718e+00
-5.000000000000000000e-01 4.766206288748284337e+00 4.760755804923755719e+00 6.055297678455824339e+00 6.048823296768875757e+00
-4.000000000000000222e-01 4.760392893060907404e+00 4.755635001863852906e+00 6.049925088752062585e+00 6.044747491701347286e+00
-2.999999999999999889e-01 4.768604374032879178e+00 4.765108746383306837e+00 6.058610183675644301e+00 6.056282800407430500e+00
-2.000000000000000111e-01 4.763602804918614986e+00 4.766186909507936775e+00 6.051071004608502335e+00 6.057830302470491368e+00
-1.000000000000000056e-01 4.770161804228149727e+00 4.771252541155959648e+00 6.058984228625397428e+00 6.064049237633863498e+00
0.000000000000000000e+00 4.768276136139726340e+00 4.764723492004164562e+00 6.056241078666713129e+00 6.054624304430210380e+00
1.000000000000000056e-01 4.768205106985245578e+00 4.769426931608053977e+00 6.054974004797331943e+00 6.058604818949037352e+00
