# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
-2.000000000000000000e+01 5.188993015007103971e+00 5.184285406573887478e+00 6.109276140750512951e+00 6.105998951387194396e+00
-1.800000000000000000e+01 5.187128964994035307e+00 5.180978114085241337e+00 6.108001859025257829e+00 6.103037023920131254e+00
-1.600000000000000000e+01 5.193010113321666843e+00 5.188788976905384764e+00 6.114322652650302281e+00 6.111767606014305798e+00
-1.400000000000000000e+01 5.193134393525507875e+00 5.189217314513570045e+00 6.115247151976362261e+00 6.112883815693094469e+00
-1.200000000000000000e+01 5.186457995638710017e+00 5.191990964122976671e+00 6.106502482251701558e+00 6.114863018575575460e+00
-1.000000000000000000e+01 5.188776246288639982e+00 5.188897480418468433e+00 6.108550477004607515e+00 6.110713617210275395e+00
-8.000000000000000000e+00 5.194263087394857870e+00 5.193246103025606963e+00 6.114182352816284194e+00 6.114907463008632860e+00
-6.000000000000000000e+00 5.188740127940582703e+00 5.189117535797862502e+00 6.108051426035670417e+00 6.110626575270616812e+00
-4.000000000000000000e+00 5.180674781351757296e+00 5.180649077439543504e+00 6.098534002973127421e+00 6.100528266078894646e+00
-2.000000000000000000e+00 5.176187546364000802e+00 5.176766346567744925e+00 6.093023599192877171e+00 6.095652475735866105e+00
-1.000000000000000000e+00 5.167765932668483941e+00 5.167867711628945315e+00 6.083837136273660740e+00 6.085701511462508151e+00
-9.000000000000000222e-01 5.190030261599911654e+00 5.185813127827295865e+00 6.110699446258140988e+00 6.107859240028785663e+00
-8.000000000000000444e-01 5.182612501418337736e+00 5.180639467972548928e+00 6.101352425779122512e+00 6.100985190586896145e+00
-6.999999999999999556e-01 5.185093149222531395e+00 5.187679499700381669e+00 6.102963594629041921e+00 6.107835938089341887e+00
-5.999999999999999778e-01 5.179203434488166558e+00 5.174409583128063872e+00 6.096966478955630819e+00 6.093406215221684796e+00
-5.000000000000000000e-01 5.181305553220058258e+00 5.180651638869575137e+00 6.098932870864092415e+00 6.099530573214195783e+00
-4.000000000000000222e-01 5.175906072749729248e+00 5.175843212319853670e+00 6.093506148170652281e+00 6.094001431240365640e+00
-2.999999999999999889e-01 5.167988469930779871e+00 5.180103507714415301e+00 6.086399152134209345e+00 6.098664451372564521e+00
-2.000000000000000111e-01 5.171679970855765696e+00 5.171284788309185920e+00 6.092207363254793506e+00 6.089013776177629289e+00
-1.000000000000000056e-01 5.189101199833822342e+00 5.187951043029277898e+00 6.112143732034055255e+00 6.107420893589277533e+00
0.000000000000000000e+00 5.174974289498663005e+00 5.179181173779270786e+00 6.096352520453566903e+00 6.097712006141289720e+00
1.000000000000000056e-01 5.173572688714854095e+00 5.172217773014918585e+00 6.094450748562807441e+00 6.089716859245785763e+00
2.000000000000000111e-01 5.164542725524374767e+00 5.166661261179304354e+00 6.083940758669791116e+00 6.083387419509184824e+00
2.999999999999999889e-01 5.166719237310778645e+00 5.171591325964967290e+00 6.086484353796826063e+00 6.089395828273038269e+00
4.000000000000000222e-01 5.177209657841475021e+00 5.175146376003443294e+00 6.098731954985934678e+00 6.093026402036217704e+00
5.000000000000000000e-01 5.164282874441835425e+00 5.167940181954493006e+00 6.083454607162972927e+00 6.084627906265672515e+00
5.999999999999999778e-01 5.172320672931762786e+00 5.174851769350744313e+00 6.092179096098518265e+00 6.092060580813913440e+00
6.999999999999999556e-01 5.173577733817920965e+00 5.175149818744972485e+00 6.093201132461412151e+00 6.092049290053653365e+00
8.000000000000000444e-01 5.168301253860493993e+00 5.172398669951979500e+00 6.087086061435539541e+00 6.088864752036640127e+00
9.000000000000000222e-01 5.191770029424624511e+00 5.190360742837241581e+00 6.113253691515496691e+00 6.108522207516588587e+00
1.000000000000000000e+00 5.184798464150017772e+00 5.185254185465124621e+00 6.105838154273590668e+00 6.103080988772920712e+00
1.100000000000000089e+00 5.177490331224403164e+00 5.185504268131428063e+00 6.096922114825554573e+00 6.103113340174999735e+00
1.199999999999999956e+00 5.175442824963076838e+00 5.173288972784337858e+00 6.094568545162085016e+00 6.089003204946251913e+00
1.300000000000000044e+00 5.173899324833564961e+00 5.176276593584749008e+00 6.092103262040994061e+00 6.091925651682635667e+00
1.399999999999999911e+00 5.177277405376654151e+00 5.175672006561306659e+00 6.094955561835104341e+00 6.090317285627058652e+00
1.500000000000000000e+00 5.177973039106149145e+00 5.172696077681904647e+00 6.096658897650784503e+00 6.087699776583278322e+00
1.600000000000000089e+00 5.176230148371632644e+00 5.177528687468490709e+00 6.093692731481802127e+00 6.092440791015190982e+00
1.699999999999999956e+00 5.172099418945946603e+00 5.177064716251059018e+00 6.090355482160333622e+00 6.092931587368947355e+00
1.800000000000000044e+00 5.175305089348833043e+00 5.180889228468964269e+00 6.094479335257904751e+00 6.097911715858540305e+00
1.899999999999999911e+00 5.177357161695898213e+00 5.176960135568823063e+00 6.096062077157545112e+00 6.092835815348403905e+00
2.000000000000000000e+00 5.167100407624087843e+00 5.173649403106006517e+00 6.083325119239956891e+00 6.088294595969975020e+00
3.000000000000000000e+00 5.170427715490135689e+00 5.174404056048313549e+00 6.088549082074587560e+00 6.089779962787806866e+00
4.000000000000000000e+00 5.176895993541901220e+00 5.175525463322430575e+00 6.095816317034064902e+00 6.091507402550738526e+00
5.000000000000000000e+00 5.175945312252408392e+00 5.187713772656417532e+00 6.094142850144384838e+00 6.104954892901061747e+00
6.000000000000000000e+00 5.184433150494322184e+00 5.187189664584408000e+00 6.103459440091064891e+00 6.104116637940092183e+00
7.000000000000000000e+00 5.175702677025536325e+00 5.186272454432168999e+00 6.093267758754555175e+00 6.102750348026201976e+00
8.000000000000000000e+00 5.187242434698251081e+00 5.186966327642863916e+00 6.107087608276791535e+00 6.104285602287287560e+00
9.000000000000000000e+00 5.185295827165439242e+00 5.184467181910733302e+00 6.104639227622963737e+00 6.100962527044664796e+00
1.000000000000000000e+01 5.185494898989110979e+00 5.191412964853232559e+00 6.103507724027900316e+00 6.107477591798440741e+00
1.100000000000000000e+01 5.185338986174923726e+00 5.186139202938604420e+00 6.104074513420828296e+00 6.101881178570240927e+00
1.200000000000000000e+01 5.175434094994998624e+00 5.181297065411026637e+00 6.092871050532103538e+00 6.096127981286128872e+00
1.300000000000000000e+01 5.190885091077078073e+00 5.190218202926312863e+00 6.111818455181930787e+00 6.106873480073561566e+00
1.400000000000000000e+01 5.184108117937276106e+00 5.184790616401456553e+00 6.104140507869869836e+00 6.099950823098252428e+00
1.500000000000000000e+01 5.188951775760643592e+00 5.192171136014859911e+00 6.110301540260535624e+00 6.108799030826387089e+00
1.600000000000000000e+01 5.183708285291769080e+00 5.189400611068360369e+00 6.104452404037421509e+00 6.105413101100100270e+00
1.700000000000000000e+01 5.187241794932828221e+00 5.190857624544563897e+00 6.108291501643304144e+00 6.106542439475797224e+00
1.800000000000000000e+01 5.186461037140137620e+00 5.198726381241703720e+00 6.107132132993366547e+00 6.115508446830087763e+00
1.900000000000000000e+01 5.191175531976383262e+00 5.199008814112605847e+00 6.113307823471836322e+00 6.116037119472101935e+00
2.000000000000000000e+01 5.183986314529540174e+00 5.188987729353620182e+00 6.105462746679281238e+00 6.104746530662906956e+00
2.100000000000000000e+01 5.191694997601134176e+00 5.195681425434522716e+00 6.114447735436175257e+00 6.112654708079539922e+00
2.200000000000000000e+01 5.187600783091408374e+00 5.194464164762730540e+00 6.109310252969065935e+00 6.111044181514110996e+00
2.300000000000000000e+01 5.188400758697798487e+00 5.192182912035781861e+00 6.110158677632361091e+00 6.108742743205570314e+00
2.400000000000000000e+01 5.191467496886092547e+00 5.194905231823214287e+00 6.112961408724694401e+00 6.111694573010525211e+00
2.500000000000000000e+01 5.190659190849093996e+00 5.193220637175459231e+00 6.111405411525349329e+00 6.109297760435232760e+00
2.600000000000000000e+01 5.187548895089196144e+00 5.193025247202753825e+00 6.107887031261582500e+00 6.109211756111488256e+00
