# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
-2.000000000000000000e+01 4.728853760824136998e+00 4.726602858893627968e+00 6.230442114102528350e+00 6.228292740492172186e+00
-1.800000000000000000e+01 4.744181418042831666e+00 4.740932348302242083e+00 6.251021196739530161e+00 6.247498725267378816e+00
-1.600000000000000000e+01 4.735112387541434487e+00 4.737565004590618578e+00 6.239745255173023253e+00 6.243758763367876163e+00
-1.400000000000000000e+01 4.741474073490364205e+00 4.738983018445368067e+00 6.247678180265087811e+00 6.245231075834305479e+00
-1.200000000000000000e+01 4.735134167288323148e+00 4.733322572209331724e+00 6.239596627395825656e+00 6.237747948973837886e+00
-1.000000000000000000e+01 4.735053450115925600e+00 4.733044063246589772e+00 6.239093820033585480e+00 6.236971835329366165e+00
-8.000000000000000000e+00 4.745077645360620267e+00 4.737725158277716453e+00 6.253089287940390761e+00 6.243943900369984590e+00
-6.000000000000000000e+00 4.740117878410199381e+00 4.744848383837949157e+00 6.245634508696521259e+00 6.252197621031391428e+00
-4.000000000000000000e+00 4.740738480123691367e+00 4.740842421003762297e+00 6.246033457547084389e+00 6.246472765779715886e+00
-2.000000000000000000e+00 4.744369199310914276e+00 4.741756266785531082e+00 6.251806119580706422e+00 6.248756189610376488e+00
-1.000000000000000000e+00 4.738125467159212789e+00 4.735650107610244852e+00 6.243439971309757475e+00 6.240609854608461404e+00
-9.000000000000000222e-01 4.730437776633966251e+00 4.736684230562191900e+00 6.232452873392274384e+00 6.240842962961511198e+00
-8.000000000000000444e-01 4.740344018961408779e+00 4.739528027332604587e+00 6.245222110051512843e+00 6.244307377581363561e+00
-6.999999999999999556e-01 4.741205492931207743e+00 4.737721315441786096e+00 6.246506798883638467e+00 6.242236319129938593e+00
-5.999999999999999778e-01 4.746448654126762534e+00 4.743882329426220679e+00 6.253369240132750306e+00 6.250523514916711321e+00
-5.000000000000000000e-01 4.748309178613051351e+00 4.746869383984836155e+00 6.257710831083066694e+00 6.255991238502863538e+00
-4.000000000000000222e-01 4.737533773878092269e+00 4.738044988855814488e+00 6.241633091960151702e+00 6.242521235779157962e+00
-2.999999999999999889e-01 4.748178331269135022e+00 4.751637284139487605e+00 6.256836618411846906e+00 6.259424498870815867e+00
-2.000000000000000111e-01 4.742770850101766023e+00 4.743534389734715084e+00 6.254058873913239225e+00 6.250889706169467708e+00
-1.000000000000000056e-01 4.742343075290029297e+00 4.743097005964354906e+00 6.256426459579492061e+00 6.250265658889726517e+00
0.000000000000000000e+00 4.740021064860444611e+00 4.751740184003302225e+00 6.254882476453768270e+00 6.260978733012463771e+00
1.000000000000000056e-01 4.734925567109570466e+00 4.741446926959890007e+00 6.249794644256001952e+00 6.248026999527875880e+00
2.000000000000000111e-01 4.726427568112660182e+00 4.738754796959296023e+00 6.238769822240254115e+00 6.244058333207642697e+00
2.999999999999999889e-01 4.734595405296769144e+00 4.740587132810038185e+00 6.250416285667899530e+00 6.246810693193755704e+00
4.000000000000000222e-01 4.733024362007706820e+00 4.743581074877441850e+00 6.249381516809724424e+00 6.251258705404300287e+00
5.000000000000000000e-01 4.728149556491520578e+00 4.738255192424869477e+00 6.242182424246535355e+00 6.243741223784133432e+00
5.999999999999999778e-01 4.735247878763664708e+00 4.744493880279216924e+00 6.251202653894550210e+00 6.251084537091695204e+00
6.999999999999999556e-01 4.739972456674150791e+00 4.749168651239902061e+00 6.257865379435970432e+00 6.257434320517571535e+00
8.000000000000000444e-01 4.741665778728100022e+00 4.748450996650523059e+00 6.259022187634247558e+00 6.255302326493540122e+00
9.000000000000000222e-01 4.744824520262307388e+00 4.754960587170376840e+00 6.263024244988233846e+00 6.263699946699206933e+00
1.000000000000000000e+00 4.747165669914013009e+00 4.757542527988935177e+00 6.266720566047053076e+00 6.267341168697334375e+00
1.100000000000000089e+00 4.741728079318451528e+00 4.752156909888095804e+00 6.259659608988918045e+00 6.260419392588687515e+00
1.199999999999999956e+00 4.740171289876616179e+00 4.749519551234163472e+00 6.258164391759297729e+00 6.257377625058127002e+00
1.300000000000000044e+00 4.735115188378065554e+00 4.747686493810655328e+00 6.252993674206797081e+00 6.255555128731503878e+00
1.399999999999999911e+00 4.742103321726390597e+00 4.745904206857139762e+00 6.262390505913134398e+00 6.253298212021876523e+00
1.500000000000000000e+00 4.740733914844151187e+00 4.745722991619304665e+00 6.259082084621588216e+00 6.252636128119747561e+00
1.600000000000000089e+00 4.740320794645968228e+00 4.752941027524120621e+00 6.258799890331796512e+00 6.261111501205252061e+00
1.699999999999999956e+00 4.729292585723387177e+00 4.747892774801985460e+00 6.244360788781492921e+00 6.254835550172423986e+00
1.800000000000000044e+00 4.731931862725415883e+00 4.742652495329150675e+00 6.247605706412379334e+00 6.247463250000023116e+00
1.899999999999999911e+00 4.742728807783017864e+00 4.748412798271325563e+00 6.261560096542143405e+00 6.255224167280302616e+00
2.000000000000000000e+00 4.735228899172614803e+00 4.748856028676473606e+00 6.251743257584851499e+00 6.255166112530136324e+00
3.000000000000000000e+00 4.740103864451122639e+00 4.752686702574030697e+00 6.259483596518363058e+00 6.261330117702510023e+00
4.000000000000000000e+00 4.739051885373099182e+00 4.744885379706549777e+00 6.257752471775784642e+00 6.251210579646395260e+00
5.000000000000000000e+00 4.732722230022805121e+00 4.748983352611554132e+00 6.249610061267851790e+00 6.257077655429800878e+00
6.000000000000000000e+00 4.744936549314092922e+00 4.752224494221180429e+00 6.265114361867198056e+00 6.261360706674605758e+00
7.000000000000000000e+00 4.735205677143225600e+00 4.747079185532367518e+00 6.251985494658144127e+00 6.254169780302507142e+00
8.000000000000000000e+00 4.738201299784470244e+00 4.753007891607746949e+00 6.255475131140952882e+00 6.261864232688445497e+00
9.000000000000000000e+00 4.740578003650599115e+00 4.751341798594546084e+00 6.257542024488213173e+00 6.258920089561195610e+00
1.000000000000000000e+01 4.725425877273944586e+00 4.737179751775390635e+00 6.238798570378206954e+00 6.241498483470092395e+00
1.100000000000000000e+01 4.724118049980575051e+00 4.738811490828203965e+00 6.237179874687390324e+00 6.243521808161989206e+00
1.200000000000000000e+01 4.736652041199803875e+00 4.740695558613266414e+00 6.252859710955066319e+00 6.246014158988234755e+00
1.300000000000000000e+01 4.729358249476703691e+00 4.741926832555745541e+00 6.243361575845075784e+00 6.247692114241830019e+00
1.400000000000000000e+01 4.725956872670378672e+00 4.736515826892957470e+00 6.239115680912313167e+00 6.240381472718427247e+00
1.500000000000000000e+01 4.728981884099343169e+00 4.737002698988340477e+00 6.242971835010707515e+00 6.240683046629823316e+00
1.600000000000000000e+01 4.727148507840563063e+00 4.730014244202375373e+00 6.241333120894891451e+00 6.232363181803453500e+00
1.700000000000000000e+01 4.730534830165529669e+00 4.736290568721640781e+00 6.246010636364866642e+00 6.240948985634675594e+00
1.800000000000000000e+01 4.732257699703608544e+00 4.735816349597997466e+00 6.247832569942948666e+00 6.240249505711539690e+00
1.900000000000000000e+01 4.730658308603945095e+00 4.735822675848499586e+00 6.244203433532986125e+00 6.238960570657773097e+00
2.000000000000000000e+01 4.730444581972262696e+00 4.738863222501286110e+00 6.244310659077411785e+00 6.243838680180178180e+00
2.100000000000000000e+01 4.728510467422752050e+00 4.741211738486919458e+00 6.242517312833276044e+00 6.247358827669320824e+00
2.200000000000000000e+01 4.726676369820094870e+00 4.735234105728814313e+00 6.239252053025909461e+00 6.239189514420574234e+00
2.300000000000000000e+01 4.723421615419407082e+00 4.734899139657778200e+00 6.234131707187343885e+00 6.238674930132544816e+00
2.400000000000000000e+01 4.742881997620006729e+00 4.747856739899260603e+00 6.258225491668389040e+00 6.254442046999109550e+00
2.500000000000000000e+01 4.729051631463801364e+00 4.734427643515711992e+00 6.240538184282871548e+00 6.237732334117264799e+00
2.600000000000000000e+01 4.731435304276289777e+00 4.738499753956102900e+00 6.243265886046838631e+00 6.242630712153901307e+00
2.700000000000000000e+01 4.731229743453877923e+00 4.743317299187741476e+00 6.242820008398040521e+00 6.248894883009215917e+00
2.800000000000000000e+01 4.731386135219467270e+00 4.744489716023830184e+00 6.242576331408463908e+00 6.250273426478406336e+00
2.900000000000000000e+01 4.741122051733105636e+00 4.744037438332034284e+00 6.255511968898001207e+00 6.250356549053510236e+00
3.000000000000000000e+01 4.730219724452075170e+00 4.740249927782253181e+00 6.240843523382147318e+00 6.244947282500839414e+00
3.100000000000000000e+01 4.741461100313270727e+00 4.746318929914253637e+00 6.255722013485711663e+00 6.253102904108883919e+00
3.200000000000000000e+01 4.734643853088156717e+00 4.738167588980906508e+00 6.246598248892147431e+00 6.242508426358051032e+00
3.300000000000000000e+01 4.731564628592162869e+00 4.736569559851433908e+00 6.242585781504823572e+00 6.240571339369172854e+00
3.400000000000000000e+01 4.745142909226507832e+00 4.747524257604893272e+00 6.260631034743275869e+00 6.254788544384133786e+00
3.500000000000000000e+01 4.732913536030544321e+00 4.740051494552624867e+00 6.246167429470234289e+00 6.246541873630494734e+00
3.600000000000000000e+01 4.733559441438477400e+00 4.736467621573207332e+00 6.245290333886983625e+00 6.240677924366110574e+00
3.700000000000000000e+01 4.732080567858676368e+00 4.742618542483056920e+00 6.243539508414192696e+00 6.248419381323976118e+00
3.800000000000000000e+01 4.736137701404858014e+00 4.741360683462148451e+00 6.247960696616975618e+00 6.245704497773350461e+00
3.900000000000000000e+01 4.729932806562883840e+00 4.730001753415177035e+00 6.239609441881675878e+00 6.230788451176054288e+00
4.000000000000000000e+01 4.729667029557722557e+00 4.738685450563958845e+00 6.238784079528757687e+00 6.241708446379789166e+00
4.100000000000000000e+01 4.735750445922738194e+00 4.743420760822853133e+00 6.246604575550358085e+00 6.247543089526708115e+00
4.200000000000000000e+01 4.740395347509546831e+00 4.746859772892017659e+00 6.253158877411115313e+00 6.252413750086699196e+00
4.300000000000000000e+01 4.731508813671349678e+00 4.737074129165264935e+00 6.241692029106470585e+00 6.239870177159895448e+00
4.400000000000000000e+01 4.731488316076318590e+00 4.742678040810446305e+00 6.241646309740948695e+00 6.246766973369016540e+00
4.500000000000000000e+01 4.732507541848417709e+00 4.744299691924354079e+00 6.242554309193330653e+00 6.248490169896232516e+00
4.600000000000000000e+01 4.730031862429152412e+00 4.738130752098628662e+00 6.239867853258524555e+00 6.241247835963673829e+00
4.700000000000000000e+01 4.729050991976674112e+00 4.739659434279991146e+00 6.239615608270502101e+00 6.244032148572938645e+00
4.800000000000000000e+01 4.736198719483389219e+00 4.744998689739061248e+00 6.248751144114686795e+00 6.250338290650204520e+00
4.900000000000000000e+01 4.734690618656868466e+00 4.744247882157039520e+00 6.246695223924155549e+00 6.249933176436289095e+00
5.000000000000000000e+01 4.732246248690765711e+00 4.739550048591712361e+00 6.243906025967516982e+00 6.244335565034973001e+00
5.100000000000000000e+01 4.735268296880607686e+00 4.744736916166877982e+00 6.247230701557564103e+00 6.249963766254486686e+00
5.200000000000000000e+01 4.736062507255603293e+00 4.743808415401068679e+00 6.247259130512060388e+00 6.248047017714690732e+00
5.300000000000000000e+01 4.724715189171287300e+00 4.731881656133460901e+00 6.233113115042976382e+00 6.233522154710321672e+00
5.400000000000000000e+01 4.738512963004651191e+00 4.744542488151997972e+00 6.250155472498549081e+00 6.249273254566947600e+00
5.500000000000000000e+01 4.729891326248522709e+00 4.738654861058575918e+00 6.239321321189007286e+00 6.241573114976105785e+00
5.600000000000000000e+01 4.736115277942177570e+00 4.737114567719466152e+00 6.247383250371225216e+00 6.239656607682083411e+00
5.700000000000000000e+01 4.731286918892601889e+00 4.732750978293079669e+00 6.241393579270144265e+00 6.234313884806527817e+00
5.800000000000000000e+01 4.726063054299280530e+00 4.733847880910248662e+00 6.235011040472745236e+00 6.236274592970526776e+00
5.900000000000000000e+01 4.728708338859514804e+00 4.733624704495474234e+00 6.237336025968597930e+00 6.235433453524271030e+00
6.000000000000000000e+01 4.735798891692176937e+00 4.741070482280945519e+00 6.246924884899932806e+00 6.245456816836333580e+00
6.100000000000000000e+01 4.726846695864771242e+00 4.735945274282681972e+00 6.235171681420199619e+00 6.238658515575354890e+00
6.200000000000000000e+01 4.722454677653490585e+00 4.727384095394556063e+00 6.229317257146833597e+00 6.227402752292498178e+00
6.300000000000000000e+01 4.722635173481878113e+00 4.732251132664770488e+00 6.229112099328192542e+00 6.233281116584434400e+00
