Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Tuesday, 11 June 2024, 16:22:33
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00002\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at +1 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	-20.000	-0.011213	0.011481	-0.000100
1	-18.000	-0.011325	0.009770	0.000032
2	-16.000	-0.011251	0.009378	0.000018
3	-14.000	-0.011823	0.009886	0.000020
4	-12.000	-0.011651	0.014284	0.000011
5	-10.000	-0.012127	0.011078	-0.000026
6	-8.000	-0.012561	0.012599	-0.000059
7	-6.000	-0.011364	0.009969	-0.000033
8	-4.000	-0.010995	0.011654	-0.000108
9	-2.000	-0.011971	0.009434	0.000071
10	-1.900	-0.010929	0.014378	0.000062
11	-1.800	-0.012386	0.010557	0.000136
12	-1.700	-0.010843	0.009336	0.000002
13	-1.600	-0.010362	0.013747	-0.000093
14	-1.500	-0.010550	0.010482	-0.000087
15	-1.400	-0.011489	0.010298	-0.000092
16	-1.300	-0.014575	0.011721	0.000015
17	-1.200	-0.010487	0.009885	0.000066
18	-1.100	-0.011331	0.009183	-0.000038
