Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Tuesday, 11 June 2024, 16:58:50
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00003\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at -1 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	-20.000	-0.003765	0.003038	-0.000445
1	-18.000	-0.004153	0.003395	-0.000444
2	-16.000	-0.004364	0.003053	-0.000419
3	-14.000	-0.004343	0.003024	-0.000444
4	-12.000	-0.004658	0.003255	-0.000545
5	-10.000	-0.004121	0.003469	-0.000470
6	-8.000	-0.004286	0.003162	-0.000432
7	-6.000	-0.004159	0.003698	-0.000459
8	-4.000	-0.003836	0.003103	-0.000470
9	-2.000	-0.004964	0.003218	-0.000510
10	-1.900	-0.003820	0.003732	-0.000461
11	-1.800	-0.003963	0.004939	-0.000454
12	-1.700	-0.004208	0.003465	-0.000374
13	-1.600	-0.003599	0.003587	-0.000486
14	-1.500	-0.004242	0.002940	-0.000458
15	-1.400	-0.004174	0.002669	-0.000436
16	-1.300	-0.004673	0.003817	-0.000429
17	-1.200	-0.003909	0.003262	-0.000451
18	-1.100	-0.004186	0.004004	-0.000455
