
Integration time [ms]:   1.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 7413129SP
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 175.41;  298.558;  335.550;  578.257;-36.99161
 176.01;  323.542;  348.217;  605.501;-24.67540
 176.61;  350.538;  363.884;  651.073;-13.34591
 177.21;  353.562;  358.549;  668.685;-4.98776
 177.81;  355.557;  357.883;  702.559;-2.32623
 178.41;  338.579;  354.882;  647.489;-16.30205
 179.01;  336.646;  357.211;  577.570;-20.56456
 179.61;  327.664;  367.543;  536.711;-39.87864
 180.21;  334.954;  353.546;  594.243;-18.59131
 180.81;  349.230;  359.216;  665.733;-9.98584
 181.42;  357.219;  359.883;  671.781;-2.66406
 182.02;  354.902;  358.882;  603.542;-3.98006
 182.62;  343.878;  355.217;  588.909;-11.33907
 183.22;  352.169;  338.886;  625.805;13.28288
 183.82;  354.804;  344.555;  648.309;10.24929
 184.42;  344.429;  355.578;  616.156;-11.14870
 185.02;  348.651;  368.959;  608.754;-20.30881
 185.62;  340.542;  364.320;  611.509;-23.77805
 186.22;  365.218;  361.653;  595.408; 3.56470
 186.82;  348.586;  356.651;  559.337;-8.06431
 187.42;  356.249;  377.651;  575.242;-21.40149
 188.02;  341.504;  378.989;  615.855;-37.48473
 188.62;  346.698;  374.664;  610.524;-27.96655
 189.22;  356.941;  352.670;  608.159; 4.27092
 189.82;  354.571;  342.672;  599.193;11.89843
 190.43;  353.810;  331.678;  633.388;22.13163
 191.03;  351.672;  347.687;  675.105; 3.98506
 191.63;  341.568;  355.026;  707.719;-13.45847
 192.23;  362.401;  371.370;  683.342;-8.96919
 192.83;  343.174;  363.051;  603.397;-19.87678
 193.43;  349.375;  348.059;  583.611; 1.31662
 194.03;  341.547;  346.735;  606.027;-5.18896
 194.63;  359.437;  348.430;  664.089;11.00740
 195.23;  366.607;  355.460;  661.069;11.14641
 195.83;  359.143;  354.802;  670.658; 4.34152
 196.43;  352.191;  352.465;  668.253;-0.27400
 197.03;  342.353;  369.143;  658.432;-26.78921
 197.63;  345.279;  376.480;  634.155;-31.20129
 198.23;  352.135;  390.135;  658.103;-38.00080
