Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 16:29:15
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00006\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at +1 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	-20.000	-0.001296	0.001228	-0.000025
1	-18.000	-0.001445	0.001251	-0.000029
2	-16.000	-0.001491	0.001394	-0.000023
3	-14.000	-0.001129	0.001475	-0.000006
4	-12.000	-0.001414	0.001119	-0.000039
5	-10.000	-0.001313	0.001691	-0.000044
6	-8.000	-0.001707	0.001511	-0.000051
7	-6.000	-0.001295	0.001235	-0.000036
8	-4.000	-0.001475	0.001198	-0.000027
9	-2.000	-0.001352	0.001655	0.000002
10	-1.900	-0.001436	0.001321	-0.000039
11	-1.800	-0.001755	0.001299	-0.000004
12	-1.700	-0.001394	0.001350	-0.000031
13	-1.600	-0.001739	0.001250	-0.000038
14	-1.500	-0.001313	0.001538	-0.000025
15	-1.400	-0.001698	0.001515	-0.000022
16	-1.300	-0.001315	0.001379	-0.000042
17	-1.200	-0.001343	0.001413	-0.000045
18	-1.100	-0.001624	0.001417	-0.000024
