# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
-2.000000000000000000e+01 1.780620202926238349e+00 1.780088570413309146e+00 6.520526367358464803e+00 6.511995653701724507e+00
-1.800000000000000000e+01 1.778290516749307049e+00 1.776517847718793730e+00 6.511572197376390925e+00 6.499512765975714146e+00
-1.600000000000000000e+01 1.776629235102622939e+00 1.778389572314889922e+00 6.507066929806205380e+00 6.506790819442486828e+00
-1.400000000000000000e+01 1.776231251402715650e+00 1.776721403944208522e+00 6.505368474771294096e+00 6.500523669244345548e+00
-1.200000000000000000e+01 1.781761943785915570e+00 1.781561670869333591e+00 6.524363951076123769e+00 6.517782503570004771e+00
-1.000000000000000000e+01 1.784128305300568096e+00 1.782639269614471722e+00 6.536840353758914368e+00 6.525294776062053437e+00
-8.000000000000000000e+00 1.779069267550033029e+00 1.776761682746335724e+00 6.522374166956174335e+00 6.508374841774100972e+00
-6.000000000000000000e+00 1.777581673369161397e+00 1.777895976385103216e+00 6.517158846785481074e+00 6.512272722426977190e+00
-4.000000000000000000e+00 1.777194900456292137e+00 1.777393251713739186e+00 6.513994801798272505e+00 6.509277003523576965e+00
-2.000000000000000000e+00 1.775981810920809645e+00 1.776457069080317419e+00 6.510854543951648310e+00 6.507137877448523788e+00
-1.899999999999999911e+00 1.777028980435116257e+00 1.775307000285905712e+00 6.516387612217483749e+00 6.504888166686803253e+00
-1.800000000000000044e+00 1.775515841650537441e+00 1.775887479953733417e+00 6.512383954676431941e+00 6.507384119726680183e+00
-1.699999999999999956e+00 1.778413595425507809e+00 1.778695387136501882e+00 6.522056419515496195e+00 6.517327970489322553e+00
-1.600000000000000089e+00 1.781978232333291112e+00 1.781533883915557004e+00 6.533369451590194110e+00 6.525754027163539028e+00
-1.500000000000000000e+00 1.782307029297348855e+00 1.782566879862831133e+00 6.530762267109627039e+00 6.526084588037359246e+00
-1.399999999999999911e+00 1.785215513533337628e+00 1.783474875298997953e+00 6.541363483101982901e+00 6.529810540174940670e+00
-1.300000000000000044e+00 1.782919940288080429e+00 1.783662175904204839e+00 6.534315814446290283e+00 6.531365176943338291e+00
-1.199999999999999956e+00 1.788279187369842038e+00 1.788738029785448713e+00 6.552721996180879138e+00 6.547937972633997461e+00
-1.100000000000000089e+00 1.787862545712174178e+00 1.787919800836353046e+00 6.552689887474191899e+00 6.546647271741779406e+00
-1.000000000000000000e+00 1.782045657495348712e+00 1.781144308262377240e+00 6.534499841650593055e+00 6.525540136278400460e+00
-9.000000000000000222e-01 1.778321426597025967e+00 1.778655028241846070e+00 6.522067712239691062e+00 6.517369932547237177e+00
