Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 17:29:15
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00009\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at -3 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	499.999926

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      500 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	-20.000	-0.001742	0.001121	-0.000269
1	-18.000	-0.002241	0.001916	-0.000241
2	-16.000	-0.001906	0.001656	-0.000242
3	-14.000	-0.001845	0.001584	-0.000260
4	-12.000	-0.002074	0.001652	-0.000266
5	-10.000	-0.001719	0.001381	-0.000241
6	-8.000	-0.003253	0.001716	-0.000262
7	-6.000	-0.001766	0.001465	-0.000221
8	-4.000	-0.001793	0.001312	-0.000239
9	-2.000	-0.001751	0.001536	-0.000234
10	-1.900	-0.001666	0.001333	-0.000254
11	-1.800	-0.002075	0.001821	-0.000229
12	-1.700	-0.001946	0.001404	-0.000245
13	-1.600	-0.002040	0.001708	-0.000212
14	-1.500	-0.001695	0.001283	-0.000227
15	-1.400	-0.001892	0.001588	-0.000227
16	-1.300	-0.001784	0.001261	-0.000242
17	-1.200	-0.001989	0.001405	-0.000257
18	-1.100	-0.004760	0.001355	-0.000257
