Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 15:31:46
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00004\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at 0 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	1.999969

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      2 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	-20.000	-0.001346	0.001752	0.000026
1	-18.000	-0.001664	0.001543	0.000010
2	-16.000	-0.001553	0.001587	0.000003
3	-14.000	-0.001433	0.001684	0.000030
4	-12.000	-0.001602	0.001357	0.000024
5	-10.000	-0.001575	0.001375	0.000043
6	-8.000	-0.001450	0.001361	0.000025
7	-6.000	-0.001452	0.001572	0.000013
8	-4.000	-0.001947	0.001560	0.000027
9	-2.000	-0.001454	0.001409	0.000008
10	-1.900	-0.001210	0.001381	0.000028
11	-1.800	-0.001343	0.001626	0.000035
12	-1.700	-0.001885	0.001733	-0.000010
13	-1.600	-0.001223	0.002327	-0.000006
14	-1.500	-0.001440	0.001563	0.000029
15	-1.400	-0.001382	0.001613	0.000015
16	-1.300	-0.001125	0.001394	0.000022
17	-1.200	-0.001490	0.001555	0.000018
18	-1.100	-0.001420	0.019034	0.000026
