Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Measurements00002
DateTime:      Wednesday, 12 June 2024, 16:52:23
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_angledependent\Run00007\result.txt
Dimensions:    1
TotalSteps:    299
Created:       06/11/2024 14:59
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating

Angle dependent measurements at +2 deg resonance

Probe 750 nm 1.5 uW
Pump 400 nm 5 mW


Constants:
>	DelayLine [ps]	100.000119

Loops:
>	DelayLine: from -20 to 500 [ps] in 299 steps ZigZag

Operations:
>	Digitizer

Parameters:
> DelayLine,ps,3,299,R,-20,500

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 2 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      100 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      20.02 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	-20.000	-0.001614	0.001646	-0.000011
1	-18.000	-0.001445	0.001579	-0.000016
2	-16.000	-0.001510	0.001420	-0.000001
3	-14.000	-0.001919	0.001732	-0.000027
4	-12.000	-0.001600	0.001589	-0.000034
5	-10.000	-0.001675	0.001626	-0.000018
6	-8.000	-0.001440	0.001379	-0.000048
7	-6.000	-0.001518	0.001622	-0.000025
8	-4.000	-0.001524	0.002304	-0.000035
9	-2.000	-0.001765	0.001751	-0.000025
10	-1.900	-0.001645	0.001658	-0.000048
11	-1.800	-0.001523	0.001596	-0.000028
12	-1.700	-0.001575	0.001469	-0.000013
13	-1.600	-0.001772	0.001430	-0.000031
14	-1.500	-0.002051	0.001567	-0.000052
15	-1.400	-0.001526	0.001544	-0.000045
16	-1.300	-0.007078	0.001522	-0.000044
17	-1.200	-0.001660	0.001720	-0.000023
18	-1.100	-0.001681	0.001341	-0.000043
