# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
-2.000000000000000000e+01 4.275719919541008274e+00 4.274371173527837797e+00 6.465173994597909868e+00 6.462735617052976167e+00
-1.800000000000000000e+01 4.269996137890756494e+00 4.271914234957893797e+00 6.456320484345323685e+00 6.458757099535686663e+00
-1.600000000000000000e+01 4.269476995755838722e+00 4.270243417692878296e+00 6.454494706365815127e+00 6.455092809062980663e+00
-1.400000000000000000e+01 4.274928673459551298e+00 4.272370837364138474e+00 6.462987783452898150e+00 6.458991088789250767e+00
-1.200000000000000000e+01 4.273472704143683742e+00 4.273413607016780524e+00 6.461887431968596829e+00 6.461222384037144550e+00
-1.000000000000000000e+01 4.270553878070581177e+00 4.273207887643258651e+00 6.457906190634040478e+00 6.461603634988721367e+00
-8.000000000000000000e+00 4.268183984091492356e+00 4.269656449340927473e+00 6.455160796019059788e+00 6.456708223307301431e+00
-6.000000000000000000e+00 4.271977176250485897e+00 4.269069641361943113e+00 6.460139968660453924e+00 6.455287398930593668e+00
-4.000000000000000000e+00 4.273457810105456112e+00 4.275250264877544559e+00 6.462549438555230452e+00 6.464587342859416275e+00
-2.000000000000000000e+00 4.272595294402886879e+00 4.272880690647686386e+00 6.461742810034143858e+00 6.461547419406775461e+00
-1.899999999999999911e+00 4.273249208071991490e+00 4.274252258853451281e+00 6.462145604635438190e+00 6.463233944386996832e+00
-1.800000000000000044e+00 4.272050206642703074e+00 4.269429429815819077e+00 6.460028498917363748e+00 6.455553658859842336e+00
-1.699999999999999956e+00 4.275647129351021647e+00 4.276005555932700375e+00 6.465839123871147898e+00 6.465654862804911751e+00
-1.600000000000000089e+00 4.272325112925129176e+00 4.273539488695268673e+00 6.461141344094909478e+00 6.462293827684026049e+00
-1.500000000000000000e+00 4.268650676329950322e+00 4.269154523481134333e+00 6.455899357417261619e+00 6.456000974257674940e+00
-1.399999999999999911e+00 4.266338117095345162e+00 4.265193489341377209e+00 6.451785346253068987e+00 6.449481261894071338e+00
-1.300000000000000044e+00 4.272084560500700512e+00 4.274646560512152860e+00 6.461013701243421892e+00 6.464250935325815739e+00
-1.199999999999999956e+00 4.274843150468726982e+00 4.271481496594347504e+00 6.464615048950090426e+00 6.459165899961680779e+00
-1.100000000000000089e+00 4.278542091406017711e+00 4.277027505210713620e+00 6.470196168333056441e+00 6.467231118853192129e+00
-1.000000000000000000e+00 4.277525747843650805e+00 4.275142480513258292e+00 6.467971201035817685e+00 6.464001491790191345e+00
-9.000000000000000222e-01 4.273064068604332633e+00 4.274152001827493663e+00 6.462677081879697916e+00 6.463495879731844695e+00
-8.000000000000000444e-01 4.275156573703943863e+00 4.274413614819168039e+00 6.464732923215425586e+00 6.463055129193964632e+00
-6.999999999999999556e-01 4.276860864087501213e+00 4.277514617092069926e+00 6.466599143455423970e+00 6.467123494776704007e+00
-5.999999999999999778e-01 4.272439943982162092e+00 4.272925614268584305e+00 6.460495434082773158e+00 6.460352415043247198e+00
-5.000000000000000000e-01 4.279093426034432213e+00 4.279085738020457441e+00 6.469844708695174695e+00 6.469002605873912515e+00
-4.000000000000000222e-01 4.276366625977774838e+00 4.279521279699067371e+00 6.466343936034103734e+00 6.469948808232223847e+00
-2.999999999999999889e-01 4.278502373308800344e+00 4.281870513941023582e+00 6.471685140923397306e+00 6.475778970504444843e+00
-2.000000000000000111e-01 4.274543340464258989e+00 4.274338822192512488e+00 6.465632361479847212e+00 6.464684316529846875e+00
-1.000000000000000056e-01 4.277208240202990730e+00 4.279053867009047885e+00 6.469106707028295489e+00 6.470973005981132786e+00
-0.000000000000000000e+00 4.276595246671374362e+00 4.275451980294818100e+00 6.469140659983345643e+00 6.465270008663761558e+00
1.000000000000000056e-01 4.271780665624612006e+00 4.274048701545962281e+00 6.464663736751914414e+00 6.463847421563579942e+00
2.000000000000000111e-01 4.272161273956188055e+00 4.277257568897170792e+00 6.466782761748315345e+00 6.467609410838044859e+00
2.999999999999999889e-01 4.270612254310955258e+00 4.275806563278199413e+00 6.466212926365880520e+00 6.465162142509074172e+00
4.000000000000000222e-01 4.270555479533816090e+00 4.276619750662876029e+00 6.467668185547064574e+00 6.466684827031873084e+00
5.000000000000000000e-01 4.272626445155803587e+00 4.278142184815560967e+00 6.472797747685035574e+00 6.470049547346868657e+00
5.999999999999999778e-01 4.269238604741540044e+00 4.279935680933190767e+00 6.467073045896691852e+00 6.471234701717685667e+00
6.999999999999999556e-01 4.266804888905642912e+00 4.275721601221768253e+00 6.464334377563609735e+00 6.465799644580362049e+00
8.000000000000000444e-01 4.269207054125077505e+00 4.275750909284751877e+00 6.469685752319623617e+00 6.466750730578679551e+00
9.000000000000000222e-01 4.268758940094210530e+00 4.279999662642592462e+00 6.468734584516278474e+00 6.472106670914110182e+00
1.000000000000000000e+00 4.270285858596261974e+00 4.277857989305013930e+00 6.471897668565818051e+00 6.469893874377439680e+00
1.100000000000000089e+00 4.263383176278013664e+00 4.271342081232673671e+00 6.461448765055014754e+00 6.460647182506596309e+00
1.199999999999999956e+00 4.270806522708332054e+00 4.280316690341474661e+00 6.471860832694568799e+00 6.472916502898556246e+00
