Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Al_grating_measurement00002
DateTime:      Friday, 09 February 2024, 14:33:06
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_grating_measurement00002\Run00001\result.txt
Dimensions:    2
TotalSteps:    1136
Created:       02/09/2024 14:26
Operator:      Jeffrey
Sample:        Sample
Notes:
Al grating 35 deg
Probe 750 nm 7 uW
Pump 400 nm 4.44 mW


Constants:
>	DelayLine [ps]	1.702009

Loops:
>	Repeat: 2 times
>	DelayLine: from -20 to 1000 [ps] in 568 steps ZigZag

Operations:
>	Digitizer

Parameters:
> Repeat,x,0,2,R,0,1
> DelayLine,ps,3,568,R,-20,1000

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 4 ps step=0.1 ps , to >> step=2 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      1.702 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      166.831 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	Repeat [x]	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	0	-20.000	-0.002087	0.002101	-0.000041
1	0	-18.000	-0.002122	0.001704	-0.000047
2	0	-16.000	-0.001903	0.002196	-0.000057
3	0	-14.000	-0.001619	0.002318	-0.000013
4	0	-12.000	-0.002308	0.001865	-0.000059
5	0	-10.000	-0.001854	0.001951	-0.000033
6	0	-8.000	-0.001842	0.002109	-0.000070
7	0	-6.000	-0.002122	0.001789	-0.000047
8	0	-4.000	-0.001785	0.002313	-0.000069
9	0	-2.000	-0.001807	0.001876	-0.000064
10	0	-1.900	-0.001966	0.002017	-0.000044
11	0	-1.800	-0.002138	0.001887	-0.000052
12	0	-1.700	-0.002962	0.001804	-0.000075
13	0	-1.600	-0.002046	0.002285	-0.000070
14	0	-1.500	-0.004030	0.001760	-0.000068
15	0	-1.400	-0.002298	0.002856	-0.000058
16	0	-1.300	-0.003416	0.001792	-0.000066
17	0	-1.200	-0.002140	0.002166	-0.000037
18	0	-1.100	-0.002176	0.001787	-0.000069
19	0	-1.000	-0.003517	0.001751	-0.000037
20	0	-0.900	-0.002549	0.001593	-0.000084
21	0	-0.800	-0.001584	0.001925	-0.000056
22	0	-0.700	-0.002181	0.001834	-0.000047
23	0	-0.600	-0.002119	0.001888	-0.000090
24	0	-0.500	-0.004181	0.001861	-0.000085
25	0	-0.400	-0.002115	0.002646	-0.000120
26	0	-0.300	-0.002259	0.001597	-0.000103
27	0	-0.200	-0.002115	0.001592	-0.000066
28	0	-0.100	-0.001806	0.001457	-0.000094
29	0	-0.000	-0.001936	0.001552	-0.000218
30	0	0.100	-0.002293	0.001517	-0.000434
31	0	0.200	-0.002668	0.001231	-0.000703
