Flat Al
Integration time [ms]: 500.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 7413129SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175.41;  603.437;  615.700;  578.257; 0.00000
 176.01;  617.338;  639.367;  605.501; 0.00000
 176.61;  650.241;  658.700;  651.073; 0.00000
 177.21;  672.201;  674.366;  668.685; 0.00000
 177.81;  700.404;  678.367;  702.559;91.09490
 178.41;  648.015;  623.033;  647.489;102.15070
 179.01;  579.135;  545.698;  577.570;104.91321
 179.61;  530.621;  516.031;  536.711;70.55161
 180.21;  592.794;  577.032;  594.243;91.57978
 180.81;  671.916;  653.033;  665.733;148.68590
 181.42;  681.291;  658.033;  671.781;169.17335
 182.02;  623.728;  609.366;  603.542; 0.00000
 182.62;  586.747;  582.700;  588.909;65.18326
 183.22;  615.952;  622.701;  625.805;-217.42050
 183.82;  624.104;  648.701;  648.309; 0.00000
 184.42;  595.392;  636.374;  616.156; 0.00000
 185.02;  624.191;  622.054;  608.754; 0.00000
 185.62;  645.015;  601.395;  611.509;431.26878
 186.22;  656.586;  574.061;  595.408;386.58935
 186.82;  595.870;  542.394;  559.337;315.61488
 187.42;  582.439;  545.061;  575.242;123.84555
 188.02;  585.672;  540.062;  615.855;60.17676
 188.62;  570.257;  537.064;  610.524;45.18510
 189.22;  602.171;  560.732;  608.159;87.37475
 189.82;  613.183;  581.400;  599.192;178.62803
 190.43;  648.655;  604.734;  633.388;153.28141
 191.03;  656.956;  612.737;  675.105;70.90040
 191.63;  680.841;  640.738;  707.719;59.87246
 192.23;  680.364;  623.075;  683.342;95.05928
 192.83;  612.283;  572.078;  603.397;128.37459
 193.43;  578.418;  549.747;  583.611;84.66672
 194.03;  564.071;  549.750;  606.027;25.44720
 194.63;  639.534;  607.757;  664.089;56.41036
 195.23;  644.883;  608.766;  661.069;69.05451
 195.83;  672.394;  635.434;  670.658;104.93045
 196.43;  641.685;  617.767;  668.253;47.37586
 197.03;  631.428;  609.770;  658.432;44.50761
 197.63;  616.441;  592.104;  634.155;57.87326
 198.23;  664.168;  637.768;  658.103;129.82537
 198.83;  662.172;  639.105;  647.581;272.13110
