on Al P1600nm grating
Integration time [ms]: 500.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 7413129SP
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 175.41;  592.117;  615.700;  578.257; 0.00000
 176.01;  625.647;  639.367;  605.501; 0.00000
 176.61;  664.283;  658.700;  651.073; 0.00000
 177.21;  671.481;  674.366;  668.685; 0.00000
 177.81;  698.440;  678.367;  702.559;82.97546
 178.41;  634.633;  623.033;  647.489;47.43341
 179.01;  551.865;  545.698;  577.570;19.34861
 179.61;  518.685;  516.031;  536.711;12.83354
 180.21;  588.652;  577.032;  594.243;67.51238
 180.81;  666.163;  653.033;  665.733;103.38752
 181.42;  672.738;  658.033;  671.781;106.95692
 182.02;  612.543;  609.366;  603.542; 0.00000
 182.62;  583.671;  582.700;  588.909;15.63692
 183.22;  599.647;  622.701;  625.805;-742.64996
 183.82;  609.712;  648.701;  648.309; 0.00000
 184.42;  592.536;  636.374;  616.156; 0.00000
 185.02;  637.936;  622.054;  608.754; 0.00000
 185.62;  629.857;  601.395;  611.509;281.40925
 186.22;  622.933;  574.061;  595.408;228.93997
 186.82;  554.233;  542.394;  559.337;69.87631
 187.42;  557.869;  545.061;  575.242;42.43845
 188.02;  549.205;  540.062;  615.855;12.06300
 188.62;  529.353;  537.064;  610.524;-10.49738
 189.22;  543.588;  560.732;  608.159;-36.15009
 189.82;  549.275;  581.400;  599.192;-180.54666
 190.43;  603.476;  604.734;  633.388;-4.39290
 191.03;  638.306;  612.737;  675.105;40.99701
 191.63;  674.760;  640.738;  707.719;50.79245
 192.23;  639.010;  623.075;  683.342;26.44172
 192.83;  584.087;  572.078;  603.397;38.34415
 193.43;  565.970;  549.747;  583.611;47.90722
 194.03;  571.262;  549.750;  606.027;38.22531
 194.63;  623.508;  607.757;  664.089;27.96083
 195.23;  614.630;  608.766;  661.069;11.21163
 195.83;  620.193;  635.434;  670.658;-43.27094
 196.43;  602.268;  617.767;  668.253;-30.69986
 197.03;  616.149;  609.770;  658.432;13.11003
 197.63;  614.188;  592.104;  634.155;52.51510
 198.23;  659.455;  637.768;  658.103;106.64801
 198.83;  650.119;  639.105;  647.581;129.94421
