Al flat minus dark 35.6
Integration time [ms]: 500.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 7413129SP
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 175.41;  676.819;  633.150;  566.932;43.66913
 176.01;  673.858;  629.483;  615.663;44.37499
 176.61;  686.459;  650.483;  662.269;35.97547
 177.21;  677.219;  668.484;  679.992; 8.73531
 177.81;  715.797;  702.150;  724.578;13.64707
 178.41;  671.880;  649.484;  675.957;22.39587
 179.01;  581.765;  555.152;  600.735;26.61287
 179.61;  535.763;  522.819;  537.037;12.94378
 180.21;  569.638;  575.152;  594.982;-5.51339
 180.81;  652.585;  664.817;  669.022;-12.23160
 181.42;  664.720;  691.150;  682.508;-26.43014
 182.02;  614.685;  642.484;  619.446;-27.79899
 182.62;  580.576;  612.817;  575.710;-32.24020
 183.22;  585.807;  626.482;  609.675;-40.67531
 183.82;  609.896;  650.148;  629.148;-40.25256
 184.42;  603.048;  616.139;  630.905;-13.09129
 185.02;  646.489;  623.787;  658.936;22.70179
 185.62;  643.416;  593.444;  667.908;49.97203
 186.22;  636.578;  594.777;  646.056;41.80048
 186.82;  566.892;  534.445;  573.313;32.44758
 187.42;  570.826;  538.111;  552.586;32.71473
 188.02;  577.727;  540.109;  570.614;37.61782
 188.62;  567.505;  525.773;  571.618;41.73282
 189.22;  583.856;  553.104;  609.114;30.75231
 189.82;  590.516;  568.770;  616.500;21.74614
 190.43;  617.460;  603.101;  643.929;14.35876
 191.03;  648.271;  628.097;  653.963;20.17353
 191.63;  696.708;  645.762;  661.901;50.94667
 192.23;  685.323;  635.424;  649.452;49.89865
 192.83;  620.178;  567.419;  590.339;52.75864
 193.43;  576.103;  548.416;  582.477;27.68739
 194.03;  591.140;  555.745;  597.109;35.39428
 194.63;  657.048;  631.068;  666.731;25.97948
 195.23;  654.969;  643.390;  661.787;11.57930
 195.83;  656.924;  658.053;  664.619;-1.12921
 196.43;  628.137;  620.721;  631.088; 7.41621
 197.03;  636.008;  616.384;  652.902;19.62431
 197.63;  640.986;  603.382;  636.333;37.60460
 198.23;  710.769;  648.720;  703.145;62.04971
 198.83;  699.455;  628.714;  686.878;70.74057
