Al grating minus dark 35.6 deg
Integration time [ms]: 500.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 1
Data measured with spectrometer [name]: 7413129SP
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 175.41;  590.817;  633.150;  566.932;-42.33359
 176.01;  624.065;  629.483;  615.663;-5.41810
 176.61;  660.379;  650.483;  662.269; 9.89621
 177.21;  677.169;  668.484;  679.992; 8.68543
 177.81;  713.477;  702.150;  724.578;11.32674
 178.41;  681.263;  649.484;  675.957;31.77945
 179.01;  575.615;  555.152;  600.735;20.46247
 179.61;  526.377;  522.819;  537.037; 3.55755
 180.21;  565.149;  575.152;  594.982;-10.00292
 180.81;  661.512;  664.817;  669.022;-3.30506
 181.42;  684.121;  691.150;  682.508;-7.02878
 182.02;  623.874;  642.484;  619.446;-18.60987
 182.62;  608.413;  612.817;  575.710;-4.40331
 183.22;  612.858;  626.482;  609.675;-13.62411
 183.82;  629.691;  650.148;  629.148;-20.45664
 184.42;  581.718;  616.139;  630.905;-34.42163
 185.02;  609.617;  623.787;  658.936;-14.17040
 185.62;  612.956;  593.444;  667.908;19.51281
 186.22;  613.336;  594.777;  646.056;18.55929
 186.82;  583.190;  534.445;  573.313;48.74523
 187.42;  578.171;  538.111;  552.586;40.05955
 188.02;  587.758;  540.109;  570.614;47.64859
 188.62;  552.688;  525.773;  571.618;26.91541
 189.22;  558.879;  553.104;  609.114; 5.77546
 189.82;  564.352;  568.770;  616.500;-4.41787
 190.43;  602.522;  603.101;  643.929;-0.57895
 191.03;  634.795;  628.097;  653.963; 6.69738
 191.63;  666.248;  645.762;  661.901;20.48664
 192.23;  638.702;  635.424;  649.452; 3.27752
 192.83;  576.507;  567.419;  590.339; 9.08796
 193.43;  558.480;  548.416;  582.477;10.06371
 194.03;  566.959;  555.745;  597.109;11.21327
 194.63;  639.293;  631.068;  666.731; 8.22454
 195.23;  644.676;  643.390;  661.787; 1.28601
 195.83;  677.323;  658.053;  664.619;19.27021
 196.43;  638.244;  620.721;  631.088;17.52270
 197.03;  611.342;  616.384;  652.902;-5.04195
 197.63;  573.618;  603.382;  636.333;-29.76405
 198.23;  637.946;  648.720;  703.145;-10.77416
