Oberon v2.4.8711.25000
Computer:      SOKUTO
User:          Vdhooven

Measurement:   Al_transient_grating_measurement00001
DateTime:      Thursday, 04 January 2024, 16:44:51
File:          C:\Users\vdhooven\Documents\Oberon00001\Al_transient_grating_measurement00001\Run00005\result.txt
Dimensions:    2
TotalSteps:    750
Created:       01/04/2024 12:17
Operator:      Jeffrey
Sample:        Sample
Notes:
Flat Al

pump 12.5 mW right arm only

probe 0.08 mW



Constants:
>	DelayLine [ps]	4.000272

Loops:
>	Repeat: 3 times
>	DelayLine: from -20 to 100 [ps] in 250 steps ZigZag

Operations:
>	Digitizer

Parameters:
> Repeat,x,0,3,R,0,2
> DelayLine,ps,3,250,R,-20,100

Results:
> DeltaMin,x,Value,6
> DeltaMax,x,Value,6
> DeltaMean,x,Value,6

Settings:

-=DelayLine=-
ZigZag:        True
StepSize(s):   << to -2 ps step=2 ps , to 4 ps step=0.1 ps , to 32 ps step=1 ps , to 43 ps step=0.2 ps , to 70 ps step=1 ps , to 80 ps step=0.2 ps , to >> step=1 ps
Motor:         DelayLine, Physik Instrumente(PI) Karlsruhe C-863.11 N.A.
Position:      4 [ps]
Acceleration:  667.324 [ps/s²]
Velocity:      166.831 [ps/s]
Deceleration:  667.324 [ps/s²]

-=Digitizer=-
Samples:       2000
Output:        MinMax, Mean
Store RAW:     YES
Channels:
>	Galvo	Dev1/ai0	-10..10	Differential
>	Signal	Dev1/ai1	-10..10	Differential
>	Reference	Dev1/ai2	-10..10	Differential
>	chopperState	Dev1/port0/line0
>	galvoState	Dev1/port0/line7

-=TriggerBox=-
ChopperPhase:  Low
Delay:         1 us
PulseWidth:    10 us


Index	Repeat [x]	DelayLine [ps]	DeltaMin [x]	DeltaMax [x]	DeltaMean [x]
0	0	-20.000	-0.005440	0.005105	-0.000022
1	0	-18.000	-0.007543	0.005537	-0.000029
2	0	-16.000	-0.005115	0.006745	-0.000060
3	0	-14.000	-0.005588	0.006581	-0.000048
4	0	-12.000	-0.005654	0.005631	-0.000090
5	0	-10.000	-0.007281	0.004909	-0.000029
6	0	-8.000	-0.005206	0.006334	0.000013
7	0	-6.000	-0.004540	0.005739	0.000085
8	0	-4.000	-0.005380	0.007398	0.000081
9	0	-2.000	-0.004575	0.006367	0.000047
10	0	-1.900	-0.006299	0.006488	0.000042
11	0	-1.800	-0.004885	0.004929	0.000073
12	0	-1.700	-0.005415	0.008020	0.000026
13	0	-1.600	-0.006698	0.006295	-0.000055
14	0	-1.500	-0.005861	0.005346	-0.000045
15	0	-1.400	-0.004755	0.005517	0.000046
16	0	-1.300	-0.006307	0.005786	0.000020
17	0	-1.200	-0.005358	0.005671	0.000072
18	0	-1.100	-0.004805	0.006002	0.000097
19	0	-1.000	-0.005052	0.005904	-0.000021
20	0	-0.900	-0.005378	0.005418	0.000065
21	0	-0.800	-0.011372	0.006234	0.000001
22	0	-0.700	-0.006306	0.008033	0.000006
23	0	-0.600	-0.005459	0.005402	0.000176
24	0	-0.500	-0.004159	0.006444	0.001378
25	0	-0.400	-0.009117	0.009424	0.002960
26	0	-0.300	-0.001997	0.008916	0.003678
27	0	-0.200	-0.001952	0.010227	0.004266
28	0	-0.100	-0.000397	0.009797	0.004589
29	0	-0.000	-0.000689	0.009763	0.004978
30	0	0.100	0.000225	0.010546	0.005300
31	0	0.200	-0.000493	0.010939	0.005456
32	0	0.300	0.000566	0.010362	0.005387
33	0	0.400	-0.000303	0.011588	0.005585
34	0	0.500	0.000061	0.011385	0.005638
35	0	0.600	-0.000063	0.011571	0.005700
36	0	0.700	0.001052	0.010354	0.005689
37	0	0.800	0.000806	0.011580	0.005692
38	0	0.900	-0.000789	0.010793	0.005820
39	0	1.000	0.000020	0.011615	0.005863
40	0	1.100	0.001071	0.012867	0.005928
41	0	1.200	0.001463	0.011791	0.006023
42	0	1.300	0.001240	0.011676	0.006190
43	0	1.400	-0.000726	0.012131	0.006173
44	0	1.500	-0.000317	0.012460	0.006153
45	0	1.600	0.000575	0.013462	0.006196
46	0	1.700	0.001042	0.011358	0.006217
47	0	1.800	0.000880	0.012976	0.006212
48	0	1.900	0.001272	0.012664	0.006211
49	0	2.000	0.000196	0.012702	0.006452
50	0	2.100	-0.001102	0.013135	0.006460
51	0	2.200	0.001467	0.011860	0.006542
52	0	2.300	0.001872	0.012937	0.006469
53	0	2.400	-0.000027	0.011849	0.006467
54	0	2.500	0.000368	0.011943	0.006613
55	0	2.600	0.000375	0.012163	0.006499
56	0	2.700	0.000977	0.010855	0.006432
57	0	2.800	0.000333	0.012305	0.006453
58	0	2.900	0.001305	0.011936	0.006510
59	0	3.000	0.000956	0.011731	0.006442
60	0	3.100	-0.000058	0.012474	0.006500
61	0	3.200	0.000846	0.012281	0.006515
62	0	3.300	0.001700	0.012818	0.006451
63	0	3.400	0.000183	0.012243	0.006500
64	0	3.500	0.001497	0.013204	0.006522
65	0	3.600	0.000740	0.011704	0.006483
66	0	3.700	0.001313	0.011101	0.006382
67	0	3.800	0.000776	0.013051	0.006500
68	0	3.900	0.001497	0.012111	0.006532
69	0	4.000	0.002452	0.012371	0.006663
70	0	5.000	0.001433	0.012314	0.006425
71	0	6.000	0.000756	0.012064	0.006551
