# delays[ps] pumped_signal, blocked_signal, pumped_reference, blocked_reference
-2.000000000000000000e+01 4.643582632279645850e+00 4.646226073184668515e+00 7.147769264569311609e+00 7.151603969925308668e+00
-1.800000000000000000e+01 4.645238076030102192e+00 4.645168890768547776e+00 7.153672312303125835e+00 7.153238214449863186e+00
-1.600000000000000000e+01 4.643985342488236689e+00 4.644398864022289963e+00 7.150633343392420294e+00 7.150593947715390364e+00
-1.400000000000000000e+01 4.641782407595077764e+00 4.640129125349896633e+00 7.146313361393957564e+00 7.143232349570449280e+00
-1.200000000000000000e+01 4.638090112838454182e+00 4.641994853913616659e+00 7.141053592674531991e+00 7.146084338864744367e+00
-1.000000000000000000e+01 4.642168941975676866e+00 4.636470382380868394e+00 7.145335124375707281e+00 7.136220064790884443e+00
-8.000000000000000000e+00 4.649399949553688849e+00 4.647322256639766280e+00 7.155151438952128906e+00 7.152100859303480718e+00
-6.000000000000000000e+00 4.640381449995460983e+00 4.638893849626502863e+00 7.145175609257946370e+00 7.143807156075818732e+00
-4.000000000000000000e+00 4.642630109421935991e+00 4.644672007852665097e+00 7.146394561649143995e+00 7.150441395965356328e+00
-2.000000000000000000e+00 4.646442843670687495e+00 4.648728899059928033e+00 7.150728875907483406e+00 7.154761537582891684e+00
-1.899999999999999911e+00 4.639611025015685009e+00 4.643308607192631499e+00 7.142514454007179658e+00 7.148665341756620606e+00
-1.800000000000000044e+00 4.642154447991613253e+00 4.639748596897999455e+00 7.146108520682235898e+00 7.143209848714484167e+00
-1.699999999999999956e+00 4.638307040434599848e+00 4.635415204259032862e+00 7.139427273495520865e+00 7.135208773055957465e+00
-1.600000000000000089e+00 4.645936833325112758e+00 4.643134678861156495e+00 7.150484717340789942e+00 7.145561028603246712e+00
-1.500000000000000000e+00 4.650396034866333572e+00 4.650696327356699022e+00 7.156866155097577398e+00 7.156821236406533338e+00
-1.399999999999999911e+00 4.650640512625369816e+00 4.647799678237744203e+00 7.157444563601918830e+00 7.153600321563282627e+00
-1.300000000000000044e+00 4.639237141468507630e+00 4.642414380764170012e+00 7.140087117475331979e+00 7.145186101946262802e+00
-1.199999999999999956e+00 4.647617182293533489e+00 4.653858510166211992e+00 7.152323556534691207e+00 7.162716512800177071e+00
-1.100000000000000089e+00 4.648211998282633317e+00 4.646150641589449570e+00 7.153935690565113248e+00 7.151820666617196842e+00
-1.000000000000000000e+00 4.640108065252805503e+00 4.639447745990437078e+00 7.143320517050493201e+00 7.142062809743644713e+00
-9.000000000000000222e-01 4.640427895304028105e+00 4.642264394549007633e+00 7.142888414818795439e+00 7.146436361005023663e+00
-8.000000000000000444e-01 4.644047730155119069e+00 4.645351066788605543e+00 7.148830327672796692e+00 7.150908495106072849e+00
-6.999999999999999556e-01 4.643814296983433287e+00 4.640926379046166339e+00 7.149624438630199030e+00 7.145235991614836912e+00
-5.999999999999999778e-01 4.633959067307458213e+00 4.633035212246906731e+00 7.133039031068741487e+00 7.133553374486298893e+00
-5.000000000000000000e-01 4.649357749041820753e+00 4.640222415939801337e+00 7.142481377757692762e+00 7.143571321423017650e+00
-4.000000000000000222e-01 4.664563609242142306e+00 4.643529301863717151e+00 7.147601917135982141e+00 7.147839977986833127e+00
-2.999999999999999889e-01 4.666148180136700852e+00 4.638273968773241052e+00 7.143710737622471996e+00 7.141247694199508445e+00
-2.000000000000000111e-01 4.677374019725275112e+00 4.648204871026157647e+00 7.154263611975442139e+00 7.156366225129719538e+00
-1.000000000000000056e-01 4.672154241347467263e+00 4.638072172726559472e+00 7.143095898672466859e+00 7.141096504491981634e+00
-0.000000000000000000e+00 4.675966255674580907e+00 4.639085714596992815e+00 7.144996556172712232e+00 7.142989473606846218e+00
1.000000000000000056e-01 4.680288524216361878e+00 4.637177786257264955e+00 7.147674772281387590e+00 7.139642364384804374e+00
2.000000000000000111e-01 4.682077378120933275e+00 4.640525910707541613e+00 7.145404714524837608e+00 7.141465986235152386e+00
2.999999999999999889e-01 4.675586369335105630e+00 4.640382811335030055e+00 7.140930829058186546e+00 7.145987282923566219e+00
4.000000000000000222e-01 4.681418659650073977e+00 4.643250229943402196e+00 7.146363170990207792e+00 7.149054840229347896e+00
5.000000000000000000e-01 4.678389804235144389e+00 4.641777682762907808e+00 7.142743473609136196e+00 7.148386586783288088e+00
5.999999999999999778e-01 4.683971775900073631e+00 4.644764336443142128e+00 7.149812468534151755e+00 7.152230901868060542e+00
6.999999999999999556e-01 4.675313143026069262e+00 4.634370827130656956e+00 7.136368044706782321e+00 7.135843775250768850e+00
8.000000000000000444e-01 4.677643240639388189e+00 4.635681697795703826e+00 7.140642139397490595e+00 7.138621451229828274e+00
9.000000000000000222e-01 4.677319087261984087e+00 4.636057100242833684e+00 7.138152668940121792e+00 7.138611196259273761e+00
1.000000000000000000e+00 4.678534504856115994e+00 4.637986008916048064e+00 7.141011862389457399e+00 7.143064106454383833e+00
1.100000000000000089e+00 4.692150179762853313e+00 4.646787898685476037e+00 7.158743909112534887e+00 7.154251280686852787e+00
1.199999999999999956e+00 4.690629186768147108e+00 4.649483229956313579e+00 7.155651931005183819e+00 7.158676883729031104e+00
1.300000000000000044e+00 4.679530190764516817e+00 4.633064360860647213e+00 7.137845570825865238e+00 7.134361685816105414e+00
1.399999999999999911e+00 4.681644398679023489e+00 4.635935222544096845e+00 7.141717191300053891e+00 7.139212184901873037e+00
1.500000000000000000e+00 4.687139244524892945e+00 4.643046513065561598e+00 7.150017865101397696e+00 7.149891900373457787e+00
1.600000000000000089e+00 4.686287379953422594e+00 4.640820677230164115e+00 7.146198055169024066e+00 7.144393089866553304e+00
1.699999999999999956e+00 4.679460682224771517e+00 4.632749335861297446e+00 7.137726090236225396e+00 7.134134344631376301e+00
1.800000000000000044e+00 4.688394059678234527e+00 4.642558362197832800e+00 7.150311909140267375e+00 7.148134991201770205e+00
1.899999999999999911e+00 4.686409496891283943e+00 4.642396442995019079e+00 7.146634396882549645e+00 7.147229938275754257e+00
2.000000000000000000e+00 4.688387013342388165e+00 4.640020542277847326e+00 7.148433435175951978e+00 7.144964610037090047e+00
2.100000000000000089e+00 4.678102485582096293e+00 4.635231580002564300e+00 7.134394833672597969e+00 7.139360247763571365e+00
2.200000000000000178e+00 4.688653111281866792e+00 4.637657371169494169e+00 7.148384987700684867e+00 7.141885276940580063e+00
2.299999999999999822e+00 4.689583612481967201e+00 4.640711211133407232e+00 7.149556210038078952e+00 7.145526838037873141e+00
2.399999999999999911e+00 4.692283509727643853e+00 4.642778172763775579e+00 7.153733655115977363e+00 7.148769202258701938e+00
2.500000000000000000e+00 4.688183456633474577e+00 4.644035071262373471e+00 7.145761385150493972e+00 7.150570804739793118e+00
